# f[Hz], a[dB]
3.000000000000000000e+07,3.566096496582031250e+01
3.161666600000000000e+07,3.487825393676757812e+01
3.323333400000000000e+07,3.622459793090820312e+01
3.485000000000000000e+07,3.601071548461914062e+01
3.646666800000000000e+07,3.698243331909179688e+01
3.808333200000000000e+07,3.563948440551757812e+01
3.970000000000000000e+07,3.545729064941406250e+01
4.131666800000000000e+07,3.534850692749023438e+01
4.293333200000000000e+07,3.526770782470703125e+01
4.455000000000000000e+07,3.533489990234375000e+01
4.616666800000000000e+07,3.565546417236328125e+01
4.778333200000000000e+07,3.539505386352539062e+01
4.940000000000000000e+07,3.543729019165039062e+01
5.101666800000000000e+07,3.616967773437500000e+01
5.263333200000000000e+07,3.576131439208984375e+01
5.425000000000000000e+07,3.509486389160156250e+01
5.586666800000000000e+07,3.548200607299804688e+01
5.748333200000000000e+07,3.645810699462890625e+01
5.910000000000000000e+07,3.592815017700195312e+01
6.071666800000000000e+07,3.553582763671875000e+01
6.233333200000000000e+07,3.612098693847656250e+01
6.395000000000000000e+07,3.596437454223632812e+01
6.556666800000000000e+07,3.548175048828125000e+01
6.718333600000000000e+07,3.505855941772460938e+01
6.880000000000000000e+07,3.527304077148437500e+01
7.041666400000000000e+07,3.585322952270507812e+01
7.203333600000000000e+07,3.632105255126953125e+01
7.365000000000000000e+07,3.945829010009765625e+01
7.526666400000000000e+07,3.634594345092773438e+01
7.688333600000000000e+07,3.607091522216796875e+01
7.850000000000000000e+07,3.566690826416015625e+01
8.011666400000000000e+07,3.638831329345703125e+01
8.173333600000000000e+07,3.579404449462890625e+01
8.335000000000000000e+07,3.624589157104492188e+01
8.496666400000000000e+07,3.572438049316406250e+01
8.658333600000000000e+07,3.597359085083007812e+01
8.820000000000000000e+07,3.667483139038085938e+01
8.981666400000000000e+07,3.652556228637695312e+01
9.143333600000000000e+07,3.633175659179687500e+01
9.305000000000000000e+07,3.609537124633789062e+01
9.466666400000000000e+07,3.656333923339843750e+01
9.628333600000000000e+07,3.608070373535156250e+01
9.790000000000000000e+07,3.575517272949218750e+01
9.951666400000000000e+07,3.564784622192382812e+01
1.011333360000000000e+08,3.563558197021484375e+01
1.027500000000000000e+08,3.558227920532226562e+01
1.043666640000000000e+08,3.660277938842773438e+01
1.059833360000000000e+08,3.586894989013671875e+01
1.076000000000000000e+08,3.709244918823242188e+01
1.092166640000000000e+08,3.648113632202148438e+01
1.108333360000000000e+08,3.640489196777343750e+01
1.124500000000000000e+08,3.621216201782226562e+01
1.140666640000000000e+08,3.578190994262695312e+01
1.156833360000000000e+08,3.600602722167968750e+01
1.173000000000000000e+08,3.602592849731445312e+01
1.189166640000000000e+08,3.643607330322265625e+01
1.205333360000000000e+08,3.650518035888671875e+01
1.221500000000000000e+08,3.567289733886718750e+01
1.237666640000000000e+08,3.607670974731445312e+01
1.253833360000000000e+08,3.639782333374023438e+01
1.270000000000000000e+08,3.575372314453125000e+01
1.286166640000000000e+08,3.631431961059570312e+01
1.302333360000000000e+08,3.654095077514648438e+01
1.318500000000000000e+08,3.639190292358398438e+01
1.334666640000000000e+08,3.654050445556640625e+01
1.350833280000000000e+08,3.600136566162109375e+01
1.367000000000000000e+08,3.646928787231445312e+01
1.383166720000000000e+08,3.650568389892578125e+01
1.399333280000000000e+08,3.595650863647460938e+01
1.415500000000000000e+08,3.619552612304687500e+01
1.431666720000000000e+08,3.669326019287109375e+01
1.447833280000000000e+08,3.674231719970703125e+01
1.464000000000000000e+08,3.756311035156250000e+01
1.480166720000000000e+08,4.305398559570312500e+01
1.496333280000000000e+08,3.611114501953125000e+01
1.512500000000000000e+08,3.634757614135742188e+01
1.528666720000000000e+08,3.566452407836914062e+01
1.544833280000000000e+08,3.702022933959960938e+01
1.561000000000000000e+08,3.682899856567382812e+01
1.577166720000000000e+08,3.671437835693359375e+01
1.593333280000000000e+08,3.633732223510742188e+01
1.609500000000000000e+08,3.671132659912109375e+01
1.625666720000000000e+08,3.648131179809570312e+01
1.641833280000000000e+08,3.668783187866210938e+01
1.658000000000000000e+08,3.630576324462890625e+01
1.674166720000000000e+08,3.629519271850585938e+01
1.690333280000000000e+08,3.636017227172851562e+01
1.706500000000000000e+08,3.700938796997070312e+01
1.722666720000000000e+08,3.613286972045898438e+01
1.738833280000000000e+08,3.616519546508789062e+01
1.755000000000000000e+08,3.593085098266601562e+01
1.771166720000000000e+08,3.588306427001953125e+01
1.787333280000000000e+08,3.690113449096679688e+01
1.803500000000000000e+08,3.649482345581054688e+01
1.819666720000000000e+08,3.643331909179687500e+01
1.835833280000000000e+08,3.638248443603515625e+01
1.852000000000000000e+08,3.687784576416015625e+01
1.868166720000000000e+08,3.690597152709960938e+01
1.884333280000000000e+08,3.644777679443359375e+01
1.900500000000000000e+08,3.691950607299804688e+01
1.916666720000000000e+08,3.689686584472656250e+01
1.932833280000000000e+08,3.594764709472656250e+01
1.949000000000000000e+08,3.561449432373046875e+01
1.965166720000000000e+08,3.678302383422851562e+01
