# f[Hz], a[dB]
3.000000000000000000e+07,3.564326477050781250e+01
3.161666600000000000e+07,3.531076431274414062e+01
3.323333400000000000e+07,3.543610382080078125e+01
3.485000000000000000e+07,3.579332351684570312e+01
3.646666800000000000e+07,3.573231887817382812e+01
3.808333200000000000e+07,3.554124069213867188e+01
3.970000000000000000e+07,3.483392715454101562e+01
4.131666800000000000e+07,3.533406448364257812e+01
4.293333200000000000e+07,3.484694671630859375e+01
4.455000000000000000e+07,3.540979003906250000e+01
4.616666800000000000e+07,3.585845565795898438e+01
4.778333200000000000e+07,3.498486328125000000e+01
4.940000000000000000e+07,3.556956863403320312e+01
5.101666800000000000e+07,3.540833282470703125e+01
5.263333200000000000e+07,3.522399902343750000e+01
5.425000000000000000e+07,3.575064849853515625e+01
5.586666800000000000e+07,3.578284454345703125e+01
5.748333200000000000e+07,3.529418182373046875e+01
5.910000000000000000e+07,3.549834060668945312e+01
6.071666800000000000e+07,3.499660110473632812e+01
6.233333200000000000e+07,3.568756484985351562e+01
6.395000000000000000e+07,3.586476135253906250e+01
6.556666800000000000e+07,3.560629272460937500e+01
6.718333600000000000e+07,3.517682266235351562e+01
6.880000000000000000e+07,3.611870956420898438e+01
7.041666400000000000e+07,3.577515411376953125e+01
7.203333600000000000e+07,3.606142044067382812e+01
7.365000000000000000e+07,3.673815536499023438e+01
7.526666400000000000e+07,3.591753387451171875e+01
7.688333600000000000e+07,3.595648956298828125e+01
7.850000000000000000e+07,3.517225265502929688e+01
8.011666400000000000e+07,3.603015136718750000e+01
8.173333600000000000e+07,3.628802108764648438e+01
8.335000000000000000e+07,3.578255081176757812e+01
8.496666400000000000e+07,3.600971984863281250e+01
8.658333600000000000e+07,3.584380722045898438e+01
8.820000000000000000e+07,3.681915664672851562e+01
8.981666400000000000e+07,3.623887252807617188e+01
9.143333600000000000e+07,3.640515899658203125e+01
9.305000000000000000e+07,3.638988876342773438e+01
9.466666400000000000e+07,3.603830718994140625e+01
9.628333600000000000e+07,3.582419586181640625e+01
9.790000000000000000e+07,3.659540557861328125e+01
9.951666400000000000e+07,3.587258529663085938e+01
1.011333360000000000e+08,3.621902847290039062e+01
1.027500000000000000e+08,3.585554122924804688e+01
1.043666640000000000e+08,3.610690689086914062e+01
1.059833360000000000e+08,3.653342437744140625e+01
1.076000000000000000e+08,3.669068908691406250e+01
1.092166640000000000e+08,3.628126525878906250e+01
1.108333360000000000e+08,3.682328414916992188e+01
1.124500000000000000e+08,3.579683685302734375e+01
1.140666640000000000e+08,3.594211959838867188e+01
1.156833360000000000e+08,3.563528442382812500e+01
1.173000000000000000e+08,3.613866424560546875e+01
1.189166640000000000e+08,3.585193252563476562e+01
1.205333360000000000e+08,3.655466461181640625e+01
1.221500000000000000e+08,3.635219192504882812e+01
1.237666640000000000e+08,3.625670623779296875e+01
1.253833360000000000e+08,3.619770431518554688e+01
1.270000000000000000e+08,3.561524581909179688e+01
1.286166640000000000e+08,3.614370727539062500e+01
1.302333360000000000e+08,3.624927139282226562e+01
1.318500000000000000e+08,3.618259811401367188e+01
1.334666640000000000e+08,3.607325363159179688e+01
1.350833280000000000e+08,3.604750061035156250e+01
1.367000000000000000e+08,3.609621429443359375e+01
1.383166720000000000e+08,3.712482452392578125e+01
1.399333280000000000e+08,3.602157592773437500e+01
1.415500000000000000e+08,3.621331787109375000e+01
1.431666720000000000e+08,3.645096969604492188e+01
1.447833280000000000e+08,3.630325698852539062e+01
1.464000000000000000e+08,3.610643768310546875e+01
1.480166720000000000e+08,3.844055557250976562e+01
1.496333280000000000e+08,3.629904556274414062e+01
1.512500000000000000e+08,3.623005676269531250e+01
1.528666720000000000e+08,3.702212905883789062e+01
1.544833280000000000e+08,3.675651168823242188e+01
1.561000000000000000e+08,3.609202575683593750e+01
1.577166720000000000e+08,3.653989028930664062e+01
1.593333280000000000e+08,3.620482635498046875e+01
1.609500000000000000e+08,3.635684204101562500e+01
1.625666720000000000e+08,3.649542617797851562e+01
1.641833280000000000e+08,3.644104385375976562e+01
1.658000000000000000e+08,3.636333847045898438e+01
1.674166720000000000e+08,3.725740814208984375e+01
1.690333280000000000e+08,3.690688705444335938e+01
1.706500000000000000e+08,3.672494506835937500e+01
1.722666720000000000e+08,3.707570266723632812e+01
