# f[Hz], a[dB]
3.000000000000000000e+07,3.566411590576171875e+01
3.161666600000000000e+07,3.556777191162109375e+01
3.323333400000000000e+07,3.566266632080078125e+01
3.485000000000000000e+07,3.550851440429687500e+01
3.646666800000000000e+07,3.583680343627929688e+01
3.808333200000000000e+07,3.520676803588867188e+01
3.970000000000000000e+07,3.544833374023437500e+01
4.131666800000000000e+07,3.501647567749023438e+01
4.293333200000000000e+07,3.509116363525390625e+01
4.455000000000000000e+07,3.594039154052734375e+01
4.616666800000000000e+07,3.520347595214843750e+01
4.778333200000000000e+07,3.511209106445312500e+01
4.940000000000000000e+07,3.554626083374023438e+01
5.101666800000000000e+07,3.556984329223632812e+01
5.263333200000000000e+07,3.537256240844726562e+01
5.425000000000000000e+07,3.530239486694335938e+01
5.586666800000000000e+07,3.519335937500000000e+01
5.748333200000000000e+07,3.547369384765625000e+01
5.910000000000000000e+07,3.584687423706054688e+01
6.071666800000000000e+07,3.548473358154296875e+01
6.233333200000000000e+07,3.544311523437500000e+01
6.395000000000000000e+07,3.569762039184570312e+01
6.556666800000000000e+07,3.578731155395507812e+01
6.718333600000000000e+07,3.572525024414062500e+01
6.880000000000000000e+07,3.518594741821289062e+01
7.041666400000000000e+07,3.599295425415039062e+01
7.203333600000000000e+07,3.606434249877929688e+01
7.365000000000000000e+07,3.575091552734375000e+01
7.526666400000000000e+07,3.565459823608398438e+01
7.688333600000000000e+07,3.516046524047851562e+01
7.850000000000000000e+07,3.587623214721679688e+01
8.011666400000000000e+07,3.610957717895507812e+01
8.173333600000000000e+07,3.556780242919921875e+01
8.335000000000000000e+07,3.620893859863281250e+01
8.496666400000000000e+07,3.584355545043945312e+01
8.658333600000000000e+07,3.615057373046875000e+01
8.820000000000000000e+07,3.603310394287109375e+01
8.981666400000000000e+07,3.607199859619140625e+01
9.143333600000000000e+07,3.636111450195312500e+01
9.305000000000000000e+07,3.588451385498046875e+01
9.466666400000000000e+07,3.559983444213867188e+01
9.628333600000000000e+07,3.603642654418945312e+01
9.790000000000000000e+07,3.594942855834960938e+01
9.951666400000000000e+07,3.604811096191406250e+01
1.011333360000000000e+08,3.609380340576171875e+01
1.027500000000000000e+08,3.580432128906250000e+01
1.043666640000000000e+08,3.553765869140625000e+01
1.059833360000000000e+08,3.580158615112304688e+01
1.076000000000000000e+08,3.592603302001953125e+01
1.092166640000000000e+08,3.588759613037109375e+01
1.108333360000000000e+08,3.583965301513671875e+01
1.124500000000000000e+08,3.608732223510742188e+01
1.140666640000000000e+08,3.619617080688476562e+01
1.156833360000000000e+08,3.634997940063476562e+01
1.173000000000000000e+08,3.628627395629882812e+01
1.189166640000000000e+08,3.596258926391601562e+01
1.205333360000000000e+08,3.626684570312500000e+01
1.221500000000000000e+08,3.651988601684570312e+01
1.237666640000000000e+08,3.702230072021484375e+01
1.253833360000000000e+08,3.614659118652343750e+01
1.270000000000000000e+08,3.617000961303710938e+01
1.286166640000000000e+08,3.637787628173828125e+01
1.302333360000000000e+08,3.569744491577148438e+01
1.318500000000000000e+08,3.606606674194335938e+01
1.334666640000000000e+08,3.640078735351562500e+01
1.350833280000000000e+08,3.607627105712890625e+01
1.367000000000000000e+08,3.647101593017578125e+01
1.383166720000000000e+08,3.585202407836914062e+01
1.399333280000000000e+08,3.629435348510742188e+01
1.415500000000000000e+08,3.574281311035156250e+01
1.431666720000000000e+08,3.563864898681640625e+01
1.447833280000000000e+08,3.656249237060546875e+01
1.464000000000000000e+08,3.732509994506835938e+01
1.480166720000000000e+08,4.063993072509765625e+01
1.496333280000000000e+08,3.616299819946289062e+01
1.512500000000000000e+08,3.667693328857421875e+01
1.528666720000000000e+08,3.627561950683593750e+01
1.544833280000000000e+08,3.692969512939453125e+01
1.561000000000000000e+08,3.596632385253906250e+01
