# f[Hz], a[dB]
3.000000000000000000e+07,3.510814285278320312e+01
3.161666600000000000e+07,3.583483123779296875e+01
3.323333400000000000e+07,3.510500335693359375e+01
3.485000000000000000e+07,3.656293487548828125e+01
3.646666800000000000e+07,3.610996246337890625e+01
3.808333200000000000e+07,3.542939376831054688e+01
3.970000000000000000e+07,3.568576812744140625e+01
4.131666800000000000e+07,3.558907699584960938e+01
4.293333200000000000e+07,3.584001541137695312e+01
4.455000000000000000e+07,3.571564865112304688e+01
4.616666800000000000e+07,3.540846252441406250e+01
4.778333200000000000e+07,3.561126327514648438e+01
4.940000000000000000e+07,3.590788650512695312e+01
5.101666800000000000e+07,3.555713272094726562e+01
5.263333200000000000e+07,3.551563262939453125e+01
5.425000000000000000e+07,3.563940811157226562e+01
5.586666800000000000e+07,3.502692413330078125e+01
5.748333200000000000e+07,3.590893173217773438e+01
5.910000000000000000e+07,3.543580627441406250e+01
6.071666800000000000e+07,3.580237960815429688e+01
6.233333200000000000e+07,3.591330718994140625e+01
6.395000000000000000e+07,3.569198989868164062e+01
6.556666800000000000e+07,3.481375503540039062e+01
6.718333600000000000e+07,3.557102584838867188e+01
6.880000000000000000e+07,3.645305252075195312e+01
7.041666400000000000e+07,3.489099121093750000e+01
7.203333600000000000e+07,3.591346359252929688e+01
7.365000000000000000e+07,3.673947143554687500e+01
7.526666400000000000e+07,3.617255783081054688e+01
7.688333600000000000e+07,3.608889007568359375e+01
7.850000000000000000e+07,3.609454345703125000e+01
8.011666400000000000e+07,3.610870361328125000e+01
8.173333600000000000e+07,3.586980438232421875e+01
8.335000000000000000e+07,3.586098480224609375e+01
8.496666400000000000e+07,3.568114471435546875e+01
8.658333600000000000e+07,3.648100280761718750e+01
8.820000000000000000e+07,3.654133987426757812e+01
8.981666400000000000e+07,3.610961532592773438e+01
9.143333600000000000e+07,3.598334503173828125e+01
9.305000000000000000e+07,3.656135940551757812e+01
9.466666400000000000e+07,3.649899673461914062e+01
9.628333600000000000e+07,3.653054428100585938e+01
9.790000000000000000e+07,3.562157058715820312e+01
9.951666400000000000e+07,3.592969131469726562e+01
1.011333360000000000e+08,3.585686111450195312e+01
1.027500000000000000e+08,3.595168304443359375e+01
1.043666640000000000e+08,3.652101516723632812e+01
1.059833360000000000e+08,3.647025680541992188e+01
1.076000000000000000e+08,3.630998992919921875e+01
1.092166640000000000e+08,3.600922012329101562e+01
1.108333360000000000e+08,3.667268371582031250e+01
1.124500000000000000e+08,3.552084350585937500e+01
1.140666640000000000e+08,3.650681304931640625e+01
1.156833360000000000e+08,3.651403808593750000e+01
1.173000000000000000e+08,3.634416198730468750e+01
1.189166640000000000e+08,3.594041824340820312e+01
1.205333360000000000e+08,3.637876510620117188e+01
1.221500000000000000e+08,3.645969009399414062e+01
1.237666640000000000e+08,3.626135635375976562e+01
