# f[Hz], a[dB]
3.000000000000000000e+07,3.575715255737304688e+01
3.161666600000000000e+07,3.652359390258789062e+01
3.323333400000000000e+07,3.586064529418945312e+01
3.485000000000000000e+07,3.553659439086914062e+01
3.646666800000000000e+07,3.570747756958007812e+01
3.808333200000000000e+07,3.557054138183593750e+01
3.970000000000000000e+07,3.526005172729492188e+01
4.131666800000000000e+07,3.528187942504882812e+01
4.293333200000000000e+07,3.557977294921875000e+01
4.455000000000000000e+07,3.538468551635742188e+01
4.616666800000000000e+07,3.552745437622070312e+01
4.778333200000000000e+07,3.509608078002929688e+01
4.940000000000000000e+07,3.621968460083007812e+01
5.101666800000000000e+07,3.537852478027343750e+01
5.263333200000000000e+07,3.554743957519531250e+01
5.425000000000000000e+07,3.609991455078125000e+01
5.586666800000000000e+07,3.621392440795898438e+01
5.748333200000000000e+07,3.559336853027343750e+01
5.910000000000000000e+07,3.519828033447265625e+01
6.071666800000000000e+07,3.612541961669921875e+01
6.233333200000000000e+07,3.551981353759765625e+01
6.395000000000000000e+07,3.598337554931640625e+01
6.556666800000000000e+07,3.529486083984375000e+01
6.718333600000000000e+07,3.592029953002929688e+01
6.880000000000000000e+07,3.509135818481445312e+01
7.041666400000000000e+07,3.613195419311523438e+01
7.203333600000000000e+07,3.663297271728515625e+01
7.365000000000000000e+07,3.821373748779296875e+01
7.526666400000000000e+07,3.622512817382812500e+01
7.688333600000000000e+07,3.628409957885742188e+01
7.850000000000000000e+07,3.559266281127929688e+01
8.011666400000000000e+07,3.599091720581054688e+01
8.173333600000000000e+07,3.533712005615234375e+01
8.335000000000000000e+07,3.569572830200195312e+01
8.496666400000000000e+07,3.614828109741210938e+01
8.658333600000000000e+07,3.604510879516601562e+01
8.820000000000000000e+07,3.646918487548828125e+01
8.981666400000000000e+07,3.581922912597656250e+01
9.143333600000000000e+07,3.698427581787109375e+01
9.305000000000000000e+07,3.575778579711914062e+01
9.466666400000000000e+07,3.587831115722656250e+01
9.628333600000000000e+07,3.650296401977539062e+01
9.790000000000000000e+07,3.664389801025390625e+01
9.951666400000000000e+07,3.614520645141601562e+01
1.011333360000000000e+08,3.621539306640625000e+01
1.027500000000000000e+08,3.571288681030273438e+01
1.043666640000000000e+08,3.620947265625000000e+01
1.059833360000000000e+08,3.671687698364257812e+01
1.076000000000000000e+08,3.634089660644531250e+01
1.092166640000000000e+08,3.595820617675781250e+01
1.108333360000000000e+08,3.642820739746093750e+01
1.124500000000000000e+08,3.609927749633789062e+01
1.140666640000000000e+08,3.620138168334960938e+01
1.156833360000000000e+08,3.617242813110351562e+01
1.173000000000000000e+08,3.595276260375976562e+01
1.189166640000000000e+08,3.536211013793945312e+01
1.205333360000000000e+08,3.594397735595703125e+01
1.221500000000000000e+08,3.667913436889648438e+01
1.237666640000000000e+08,3.611873245239257812e+01
1.253833360000000000e+08,3.625848007202148438e+01
1.270000000000000000e+08,3.619795227050781250e+01
1.286166640000000000e+08,3.602577209472656250e+01
1.302333360000000000e+08,3.657159805297851562e+01
1.318500000000000000e+08,3.623421859741210938e+01
1.334666640000000000e+08,3.709131240844726562e+01
1.350833280000000000e+08,3.607732009887695312e+01
1.367000000000000000e+08,3.586860275268554688e+01
1.383166720000000000e+08,3.609189987182617188e+01
1.399333280000000000e+08,3.628836059570312500e+01
1.415500000000000000e+08,3.568891525268554688e+01
1.431666720000000000e+08,3.584478759765625000e+01
1.447833280000000000e+08,3.599042510986328125e+01
1.464000000000000000e+08,3.958367538452148438e+01
1.480166720000000000e+08,4.664392852783203125e+01
1.496333280000000000e+08,3.654322052001953125e+01
1.512500000000000000e+08,3.627130126953125000e+01
1.528666720000000000e+08,3.599308013916015625e+01
1.544833280000000000e+08,3.604491424560546875e+01
1.561000000000000000e+08,3.625455093383789062e+01
1.577166720000000000e+08,3.628227615356445312e+01
1.593333280000000000e+08,3.584851455688476562e+01
1.609500000000000000e+08,3.693729019165039062e+01
1.625666720000000000e+08,3.691159057617187500e+01
1.641833280000000000e+08,3.671419525146484375e+01
1.658000000000000000e+08,3.624320983886718750e+01
1.674166720000000000e+08,3.636922454833984375e+01
1.690333280000000000e+08,3.593174362182617188e+01
1.706500000000000000e+08,3.686329269409179688e+01
1.722666720000000000e+08,3.636429977416992188e+01
1.738833280000000000e+08,3.692887878417968750e+01
1.755000000000000000e+08,3.640629959106445312e+01
1.771166720000000000e+08,3.616864395141601562e+01
1.787333280000000000e+08,3.615282440185546875e+01
1.803500000000000000e+08,3.620124053955078125e+01
1.819666720000000000e+08,3.662530517578125000e+01
1.835833280000000000e+08,3.681321716308593750e+01
1.852000000000000000e+08,3.687053298950195312e+01
1.868166720000000000e+08,3.663641357421875000e+01
1.884333280000000000e+08,3.635414505004882812e+01
1.900500000000000000e+08,3.681353378295898438e+01
1.916666720000000000e+08,3.683449172973632812e+01
1.932833280000000000e+08,3.628570175170898438e+01
1.949000000000000000e+08,3.662504577636718750e+01
1.965166720000000000e+08,3.630104064941406250e+01
1.981333280000000000e+08,3.657585525512695312e+01
1.997500000000000000e+08,3.673933029174804688e+01
2.013666720000000000e+08,3.597275924682617188e+01
2.029833280000000000e+08,3.717911911010742188e+01
2.046000000000000000e+08,3.642865753173828125e+01
2.062166720000000000e+08,3.648676681518554688e+01
2.078333280000000000e+08,3.590396499633789062e+01
2.094500000000000000e+08,3.600247573852539062e+01
2.110666720000000000e+08,3.644089889526367188e+01
2.126833280000000000e+08,3.703891372680664062e+01
2.143000000000000000e+08,3.570634078979492188e+01
2.159166720000000000e+08,3.620612335205078125e+01
2.175333280000000000e+08,3.673852157592773438e+01
2.191500000000000000e+08,3.667279815673828125e+01
2.207666720000000000e+08,3.886588287353515625e+01
2.223833280000000000e+08,4.298686981201171875e+01
2.240000000000000000e+08,3.772707748413085938e+01
2.256166720000000000e+08,3.650347900390625000e+01
2.272333280000000000e+08,3.627359008789062500e+01
2.288500000000000000e+08,3.589628601074218750e+01
2.304666720000000000e+08,3.570457458496093750e+01
2.320833280000000000e+08,3.587775421142578125e+01
2.337000000000000000e+08,3.597108078002929688e+01
2.353166720000000000e+08,3.566101455688476562e+01
2.369333280000000000e+08,3.694986724853515625e+01
2.385500000000000000e+08,3.572638702392578125e+01
2.401666720000000000e+08,3.605041503906250000e+01
2.417833280000000000e+08,3.622689819335937500e+01
2.434000000000000000e+08,3.602738952636718750e+01
2.450166720000000000e+08,3.515415573120117188e+01
2.466333280000000000e+08,3.570446777343750000e+01
2.482500000000000000e+08,3.575922012329101562e+01
2.498666720000000000e+08,3.645387649536132812e+01
2.514833280000000000e+08,3.620039367675781250e+01
2.531000000000000000e+08,3.612804412841796875e+01
2.547166720000000000e+08,3.603738403320312500e+01
2.563333280000000000e+08,3.590137100219726562e+01
2.579500000000000000e+08,3.568632125854492188e+01
2.595666720000000000e+08,3.651728820800781250e+01
2.611833280000000000e+08,3.591362380981445312e+01
2.628000000000000000e+08,3.624449157714843750e+01
2.644166720000000000e+08,3.639636230468750000e+01
2.660333280000000000e+08,3.621430206298828125e+01
2.676500000000000000e+08,3.638135147094726562e+01
2.692666560000000000e+08,3.622335815429687500e+01
2.708833280000000000e+08,3.565608596801757812e+01
2.725000000000000000e+08,3.576533126831054688e+01
2.741166720000000000e+08,3.588138198852539062e+01
2.757333440000000000e+08,3.669938278198242188e+01
2.773500160000000000e+08,3.630091094970703125e+01
2.789666560000000000e+08,3.545842361450195312e+01
2.805833280000000000e+08,3.627914810180664062e+01
2.822000000000000000e+08,3.589239883422851562e+01
2.838166720000000000e+08,3.657643127441406250e+01
2.854333440000000000e+08,3.645945739746093750e+01
2.870499840000000000e+08,3.584493255615234375e+01
2.886666560000000000e+08,3.673666763305664062e+01
2.902833280000000000e+08,3.683034133911132812e+01
2.919000000000000000e+08,3.677637100219726562e+01
2.935166720000000000e+08,3.674047088623046875e+01
2.951333440000000000e+08,4.204710388183593750e+01
2.967500160000000000e+08,4.853374099731445312e+01
2.983666560000000000e+08,3.684863662719726562e+01
2.999833280000000000e+08,3.603358078002929688e+01
3.016000000000000000e+08,3.631956863403320312e+01
3.032166720000000000e+08,3.576384735107421875e+01
3.048333440000000000e+08,3.621040725708007812e+01
3.064499840000000000e+08,3.650856781005859375e+01
3.080666560000000000e+08,3.687360382080078125e+01
3.096833280000000000e+08,3.708328247070312500e+01
3.113000000000000000e+08,3.548342895507812500e+01
3.129166720000000000e+08,3.671407318115234375e+01
3.145333440000000000e+08,3.623287582397460938e+01
3.161500160000000000e+08,3.654464340209960938e+01
3.177666560000000000e+08,3.652642059326171875e+01
3.193833280000000000e+08,3.662419891357421875e+01
3.210000000000000000e+08,3.625932312011718750e+01
3.226166720000000000e+08,3.606185150146484375e+01
3.242333440000000000e+08,3.609581375122070312e+01
3.258499840000000000e+08,3.608876037597656250e+01
3.274666560000000000e+08,3.646689987182617188e+01
3.290833280000000000e+08,3.696343994140625000e+01
3.307000000000000000e+08,3.662718963623046875e+01
3.323166720000000000e+08,3.694500732421875000e+01
3.339333440000000000e+08,3.650811004638671875e+01
3.355500160000000000e+08,3.657979583740234375e+01
3.371666560000000000e+08,3.645788192749023438e+01
3.387833280000000000e+08,3.711836242675781250e+01
3.404000000000000000e+08,3.622119140625000000e+01
3.420166720000000000e+08,3.718941879272460938e+01
3.436333440000000000e+08,3.646518707275390625e+01
3.452499840000000000e+08,3.612609100341796875e+01
3.468666560000000000e+08,3.685197830200195312e+01
3.484833280000000000e+08,3.720561599731445312e+01
3.501000000000000000e+08,3.589541625976562500e+01
3.517166720000000000e+08,3.708184051513671875e+01
3.533333440000000000e+08,3.686071777343750000e+01
3.549500160000000000e+08,3.608705139160156250e+01
3.565666560000000000e+08,3.640332794189453125e+01
3.581833280000000000e+08,3.694729995727539062e+01
3.598000000000000000e+08,3.624166488647460938e+01
3.614166720000000000e+08,3.718106842041015625e+01
3.630333440000000000e+08,3.754728698730468750e+01
3.646499840000000000e+08,3.733713150024414062e+01
3.662666560000000000e+08,3.726429748535156250e+01
3.678833280000000000e+08,3.871691513061523438e+01
3.695000000000000000e+08,4.718268966674804688e+01
3.711166720000000000e+08,5.140797042846679688e+01
3.727333440000000000e+08,3.995285415649414062e+01
3.743500160000000000e+08,3.822341156005859375e+01
3.759666560000000000e+08,3.749271774291992188e+01
3.775833280000000000e+08,3.756449890136718750e+01
3.792000000000000000e+08,3.726594161987304688e+01
3.808166720000000000e+08,3.764320755004882812e+01
3.824333440000000000e+08,3.736275863647460938e+01
3.840499840000000000e+08,3.666593170166015625e+01
3.856666560000000000e+08,3.672112655639648438e+01
3.872833280000000000e+08,3.751344299316406250e+01
3.889000000000000000e+08,3.766711425781250000e+01
3.905166720000000000e+08,3.758055114746093750e+01
3.921333440000000000e+08,3.725126266479492188e+01
3.937500160000000000e+08,3.673343276977539062e+01
3.953666560000000000e+08,3.777188491821289062e+01
3.969833280000000000e+08,3.755736541748046875e+01
3.986000000000000000e+08,3.723447036743164062e+01
4.002166720000000000e+08,3.797116851806640625e+01
4.018333440000000000e+08,3.819384384155273438e+01
4.034499840000000000e+08,3.718407058715820312e+01
4.050666560000000000e+08,3.710599517822265625e+01
4.066833280000000000e+08,3.754236602783203125e+01
4.083000000000000000e+08,3.764189910888671875e+01
4.099166720000000000e+08,3.717932510375976562e+01
4.115333440000000000e+08,3.721363067626953125e+01
4.131500160000000000e+08,3.691941833496093750e+01
4.147666560000000000e+08,3.754160308837890625e+01
4.163833280000000000e+08,3.756426239013671875e+01
4.180000000000000000e+08,3.761657333374023438e+01
4.196166720000000000e+08,3.734191513061523438e+01
4.212333440000000000e+08,3.744357681274414062e+01
4.228499840000000000e+08,3.729275512695312500e+01
4.244666560000000000e+08,3.710054016113281250e+01
4.260833280000000000e+08,3.696082687377929688e+01
4.277000000000000000e+08,3.750748825073242188e+01
4.293166720000000000e+08,3.772271728515625000e+01
4.309333440000000000e+08,3.869574737548828125e+01
4.325500160000000000e+08,3.777019119262695312e+01
4.341666560000000000e+08,3.774062728881835938e+01
4.357833280000000000e+08,3.780269622802734375e+01
4.374000000000000000e+08,3.738427352905273438e+01
4.390166720000000000e+08,4.013373947143554688e+01
4.406333440000000000e+08,4.159267044067382812e+01
4.422499840000000000e+08,3.822282791137695312e+01
4.438666560000000000e+08,5.775916290283203125e+01
4.454833280000000000e+08,6.091045761108398438e+01
4.471000000000000000e+08,3.934802246093750000e+01
4.487166720000000000e+08,3.993601608276367188e+01
4.503333440000000000e+08,4.003358078002929688e+01
4.519500160000000000e+08,3.811035156250000000e+01
4.535666560000000000e+08,3.748500442504882812e+01
4.551833280000000000e+08,3.816037368774414062e+01
4.568000000000000000e+08,3.835573196411132812e+01
4.584166720000000000e+08,3.895899581909179688e+01
4.600333440000000000e+08,3.871041488647460938e+01
4.616499840000000000e+08,3.886249160766601562e+01
4.632666560000000000e+08,3.887169647216796875e+01
4.648833280000000000e+08,3.813722610473632812e+01
4.665000000000000000e+08,3.796387100219726562e+01
4.681166720000000000e+08,3.914155960083007812e+01
4.697333440000000000e+08,3.844924163818359375e+01
4.713500160000000000e+08,3.882418823242187500e+01
4.729666560000000000e+08,3.851300811767578125e+01
4.745833280000000000e+08,3.792176437377929688e+01
4.762000000000000000e+08,3.755287933349609375e+01
4.778166720000000000e+08,3.795963287353515625e+01
4.794333440000000000e+08,3.838471221923828125e+01
4.810499840000000000e+08,3.836873245239257812e+01
4.826666560000000000e+08,3.852296829223632812e+01
4.842833280000000000e+08,3.805675888061523438e+01
4.859000000000000000e+08,3.725707244873046875e+01
4.875166720000000000e+08,3.872789001464843750e+01
4.891333440000000000e+08,3.862613296508789062e+01
4.907500160000000000e+08,3.831746292114257812e+01
4.923666560000000000e+08,3.862644195556640625e+01
4.939833280000000000e+08,3.827293777465820312e+01
4.956000000000000000e+08,3.867803955078125000e+01
4.972166720000000000e+08,3.788735580444335938e+01
4.988333440000000000e+08,3.777303695678710938e+01
5.004499840000000000e+08,3.822648239135742188e+01
5.020666560000000000e+08,3.762681198120117188e+01
5.036833280000000000e+08,3.755345916748046875e+01
5.053000000000000000e+08,3.773400497436523438e+01
5.069166720000000000e+08,3.814346694946289062e+01
5.085333440000000000e+08,3.749071121215820312e+01
5.101500160000000000e+08,3.805754470825195312e+01
5.117666560000000000e+08,3.728655624389648438e+01
5.133833280000000000e+08,3.734767532348632812e+01
5.150000000000000000e+08,3.796305084228515625e+01
5.166166720000000000e+08,3.989273834228515625e+01
5.182333440000000000e+08,4.894459915161132812e+01
5.198499840000000000e+08,4.858333206176757812e+01
5.214666560000000000e+08,3.920538330078125000e+01
5.230833280000000000e+08,3.767650604248046875e+01
5.247000000000000000e+08,3.771597290039062500e+01
5.263166720000000000e+08,3.821377563476562500e+01
5.279333440000000000e+08,3.714180374145507812e+01
5.295500160000000000e+08,3.726489257812500000e+01
5.311666560000000000e+08,3.704815673828125000e+01
5.327833280000000000e+08,3.763625335693359375e+01
5.344000000000000000e+08,3.735427474975585938e+01
5.360166720000000000e+08,3.752246093750000000e+01
5.376333440000000000e+08,3.720266723632812500e+01
5.392499840000000000e+08,3.667964553833007812e+01
5.408666880000000000e+08,3.787373733520507812e+01
5.424833280000000000e+08,3.704959106445312500e+01
5.440999680000000000e+08,3.766282272338867188e+01
5.457166720000000000e+08,3.633236312866210938e+01
5.473333120000000000e+08,3.705553817749023438e+01
5.489500160000000000e+08,3.679536056518554688e+01
5.505666560000000000e+08,3.680791473388671875e+01
5.521833600000000000e+08,3.709169769287109375e+01
5.538000000000000000e+08,3.691456985473632812e+01
5.554166400000000000e+08,3.676382446289062500e+01
5.570333440000000000e+08,3.652104568481445312e+01
5.586499840000000000e+08,3.694956207275390625e+01
5.602666880000000000e+08,3.671677017211914062e+01
5.618833280000000000e+08,3.674042129516601562e+01
5.635000320000000000e+08,3.734466171264648438e+01
5.651166720000000000e+08,3.733510971069335938e+01
5.667333120000000000e+08,3.684961700439453125e+01
5.683500160000000000e+08,3.664158248901367188e+01
5.699666560000000000e+08,3.721532440185546875e+01
5.715833600000000000e+08,3.793442916870117188e+01
5.732000000000000000e+08,3.750712585449218750e+01
5.748166400000000000e+08,3.700311279296875000e+01
5.764333440000000000e+08,3.705991363525390625e+01
5.780499840000000000e+08,3.682046508789062500e+01
5.796666880000000000e+08,3.677525329589843750e+01
5.812833280000000000e+08,3.709918975830078125e+01
5.828999680000000000e+08,3.738455963134765625e+01
5.845166720000000000e+08,3.720732879638671875e+01
5.861333120000000000e+08,3.764919662475585938e+01
5.877500160000000000e+08,3.760477066040039062e+01
5.893666560000000000e+08,3.791904067993164062e+01
5.909833600000000000e+08,3.740061187744140625e+01
5.926000000000000000e+08,4.617059707641601562e+01
5.942166400000000000e+08,4.356656646728515625e+01
5.958333440000000000e+08,3.776073074340820312e+01
5.974499840000000000e+08,3.748273849487304688e+01
5.990666880000000000e+08,3.701742553710937500e+01
6.006833280000000000e+08,3.712733459472656250e+01
6.023000320000000000e+08,3.730065536499023438e+01
6.039166720000000000e+08,3.689421844482421875e+01
6.055333120000000000e+08,3.747991943359375000e+01
6.071500160000000000e+08,3.686567687988281250e+01
6.087666560000000000e+08,3.707064056396484375e+01
6.103833600000000000e+08,3.694680786132812500e+01
6.120000000000000000e+08,3.710578918457031250e+01
6.136166400000000000e+08,3.723285293579101562e+01
6.152333440000000000e+08,3.690026473999023438e+01
6.168499840000000000e+08,3.723579788208007812e+01
6.184666880000000000e+08,3.716477584838867188e+01
6.200833280000000000e+08,3.717831802368164062e+01
6.216999680000000000e+08,3.763557052612304688e+01
6.233166720000000000e+08,3.744172286987304688e+01
6.249333120000000000e+08,3.748129653930664062e+01
