# f[Hz], a[dB]
3.000000000000000000e+07,3.544370269775390625e+01
3.161666600000000000e+07,3.599021148681640625e+01
3.323333400000000000e+07,3.572701644897460938e+01
3.485000000000000000e+07,3.559268188476562500e+01
3.646666800000000000e+07,3.578829574584960938e+01
3.808333200000000000e+07,3.551062774658203125e+01
3.970000000000000000e+07,3.531373596191406250e+01
4.131666800000000000e+07,3.396295928955078125e+01
4.293333200000000000e+07,3.564738845825195312e+01
4.455000000000000000e+07,3.546666336059570312e+01
4.616666800000000000e+07,3.518205261230468750e+01
4.778333200000000000e+07,3.580047988891601562e+01
4.940000000000000000e+07,3.490838623046875000e+01
5.101666800000000000e+07,3.509765243530273438e+01
5.263333200000000000e+07,3.593680953979492188e+01
5.425000000000000000e+07,3.594371032714843750e+01
5.586666800000000000e+07,3.591741943359375000e+01
5.748333200000000000e+07,3.580757522583007812e+01
5.910000000000000000e+07,3.502570724487304688e+01
6.071666800000000000e+07,3.500486755371093750e+01
6.233333200000000000e+07,3.605793762207031250e+01
6.395000000000000000e+07,3.543977355957031250e+01
6.556666800000000000e+07,3.556229782104492188e+01
6.718333600000000000e+07,3.591103744506835938e+01
6.880000000000000000e+07,3.543532943725585938e+01
7.041666400000000000e+07,3.549310302734375000e+01
7.203333600000000000e+07,3.580853652954101562e+01
7.365000000000000000e+07,3.600154495239257812e+01
7.526666400000000000e+07,3.668976593017578125e+01
7.688333600000000000e+07,3.650604248046875000e+01
7.850000000000000000e+07,3.539548492431640625e+01
8.011666400000000000e+07,3.564378356933593750e+01
8.173333600000000000e+07,3.561845016479492188e+01
8.335000000000000000e+07,3.567647171020507812e+01
8.496666400000000000e+07,3.601186752319335938e+01
8.658333600000000000e+07,3.598520278930664062e+01
8.820000000000000000e+07,3.602962875366210938e+01
8.981666400000000000e+07,3.587534713745117188e+01
9.143333600000000000e+07,3.638583755493164062e+01
9.305000000000000000e+07,3.594423675537109375e+01
9.466666400000000000e+07,3.648367309570312500e+01
9.628333600000000000e+07,3.609561157226562500e+01
9.790000000000000000e+07,3.580953598022460938e+01
9.951666400000000000e+07,3.603156280517578125e+01
1.011333360000000000e+08,3.565162658691406250e+01
1.027500000000000000e+08,3.615998458862304688e+01
1.043666640000000000e+08,3.552799224853515625e+01
1.059833360000000000e+08,3.614973068237304688e+01
1.076000000000000000e+08,3.622853469848632812e+01
1.092166640000000000e+08,3.520276260375976562e+01
1.108333360000000000e+08,3.625207138061523438e+01
1.124500000000000000e+08,3.616245651245117188e+01
1.140666640000000000e+08,3.625077438354492188e+01
1.156833360000000000e+08,3.609778213500976562e+01
1.173000000000000000e+08,3.631781005859375000e+01
1.189166640000000000e+08,3.567675781250000000e+01
1.205333360000000000e+08,3.554715347290039062e+01
1.221500000000000000e+08,3.577766036987304688e+01
1.237666640000000000e+08,3.657645416259765625e+01
1.253833360000000000e+08,3.575225448608398438e+01
1.270000000000000000e+08,3.599761581420898438e+01
1.286166640000000000e+08,3.683472442626953125e+01
1.302333360000000000e+08,3.622415161132812500e+01
1.318500000000000000e+08,3.653805160522460938e+01
1.334666640000000000e+08,3.599079513549804688e+01
1.350833280000000000e+08,3.589794921875000000e+01
1.367000000000000000e+08,3.707560729980468750e+01
1.383166720000000000e+08,3.616915512084960938e+01
1.399333280000000000e+08,3.629983139038085938e+01
1.415500000000000000e+08,3.603252792358398438e+01
1.431666720000000000e+08,3.596227264404296875e+01
1.447833280000000000e+08,3.655273818969726562e+01
1.464000000000000000e+08,3.625090789794921875e+01
1.480166720000000000e+08,3.977060317993164062e+01
1.496333280000000000e+08,3.645807266235351562e+01
1.512500000000000000e+08,3.625152587890625000e+01
1.528666720000000000e+08,3.636553955078125000e+01
1.544833280000000000e+08,3.652068710327148438e+01
1.561000000000000000e+08,3.656989288330078125e+01
1.577166720000000000e+08,3.599941635131835938e+01
1.593333280000000000e+08,3.570289993286132812e+01
1.609500000000000000e+08,3.584296035766601562e+01
1.625666720000000000e+08,3.611251068115234375e+01
1.641833280000000000e+08,3.658575820922851562e+01
1.658000000000000000e+08,3.638580703735351562e+01
1.674166720000000000e+08,3.673021316528320312e+01
1.690333280000000000e+08,3.594699096679687500e+01
1.706500000000000000e+08,3.648049163818359375e+01
1.722666720000000000e+08,3.598841094970703125e+01
1.738833280000000000e+08,3.664559936523437500e+01
1.755000000000000000e+08,3.599150085449218750e+01
1.771166720000000000e+08,3.598803329467773438e+01
1.787333280000000000e+08,3.572585678100585938e+01
1.803500000000000000e+08,3.614673995971679688e+01
1.819666720000000000e+08,3.648280334472656250e+01
