# f[Hz], a[dB]
3.000000000000000000e+07,3.511878204345703125e+01
3.161666600000000000e+07,3.559852981567382812e+01
3.323333400000000000e+07,3.532523345947265625e+01
3.485000000000000000e+07,3.561724853515625000e+01
3.646666800000000000e+07,3.527708053588867188e+01
3.808333200000000000e+07,3.579185104370117188e+01
3.970000000000000000e+07,3.512860870361328125e+01
4.131666800000000000e+07,3.543959045410156250e+01
4.293333200000000000e+07,3.553822708129882812e+01
4.455000000000000000e+07,3.623766326904296875e+01
4.616666800000000000e+07,3.477305221557617188e+01
4.778333200000000000e+07,3.471277618408203125e+01
4.940000000000000000e+07,3.489468383789062500e+01
5.101666800000000000e+07,3.532870864868164062e+01
5.263333200000000000e+07,3.561340332031250000e+01
5.425000000000000000e+07,3.527176666259765625e+01
5.586666800000000000e+07,3.506730270385742188e+01
5.748333200000000000e+07,3.579887771606445312e+01
5.910000000000000000e+07,3.571736145019531250e+01
6.071666800000000000e+07,3.585429763793945312e+01
6.233333200000000000e+07,3.515092086791992188e+01
6.395000000000000000e+07,3.527260971069335938e+01
6.556666800000000000e+07,3.567582702636718750e+01
6.718333600000000000e+07,3.604937744140625000e+01
6.880000000000000000e+07,3.576824188232421875e+01
7.041666400000000000e+07,3.535667037963867188e+01
7.203333600000000000e+07,3.668671035766601562e+01
7.365000000000000000e+07,3.625018310546875000e+01
7.526666400000000000e+07,3.576970672607421875e+01
7.688333600000000000e+07,3.637376022338867188e+01
7.850000000000000000e+07,3.570877456665039062e+01
8.011666400000000000e+07,3.634571456909179688e+01
8.173333600000000000e+07,3.637048339843750000e+01
8.335000000000000000e+07,3.530855560302734375e+01
8.496666400000000000e+07,3.575843811035156250e+01
8.658333600000000000e+07,3.620713806152343750e+01
8.820000000000000000e+07,3.643251419067382812e+01
8.981666400000000000e+07,3.643989944458007812e+01
9.143333600000000000e+07,3.655754470825195312e+01
9.305000000000000000e+07,3.632966995239257812e+01
9.466666400000000000e+07,3.647406005859375000e+01
9.628333600000000000e+07,3.602312088012695312e+01
9.790000000000000000e+07,3.626882171630859375e+01
9.951666400000000000e+07,3.553937530517578125e+01
1.011333360000000000e+08,3.592621994018554688e+01
1.027500000000000000e+08,3.609955978393554688e+01
1.043666640000000000e+08,3.631699752807617188e+01
1.059833360000000000e+08,3.606251907348632812e+01
1.076000000000000000e+08,3.621533584594726562e+01
1.092166640000000000e+08,3.649462127685546875e+01
1.108333360000000000e+08,3.603651428222656250e+01
1.124500000000000000e+08,3.636850357055664062e+01
1.140666640000000000e+08,3.602729034423828125e+01
1.156833360000000000e+08,3.489176177978515625e+01
1.173000000000000000e+08,3.598331451416015625e+01
1.189166640000000000e+08,3.571356964111328125e+01
1.205333360000000000e+08,3.596989822387695312e+01
1.221500000000000000e+08,3.612172698974609375e+01
1.237666640000000000e+08,3.632234954833984375e+01
1.253833360000000000e+08,3.588912200927734375e+01
1.270000000000000000e+08,3.631964874267578125e+01
1.286166640000000000e+08,3.663225555419921875e+01
1.302333360000000000e+08,3.681032943725585938e+01
1.318500000000000000e+08,3.622444534301757812e+01
1.334666640000000000e+08,3.591147232055664062e+01
1.350833280000000000e+08,3.607916259765625000e+01
1.367000000000000000e+08,3.655075454711914062e+01
1.383166720000000000e+08,3.604582595825195312e+01
1.399333280000000000e+08,3.608008575439453125e+01
1.415500000000000000e+08,3.668046188354492188e+01
1.431666720000000000e+08,3.627569580078125000e+01
1.447833280000000000e+08,3.680271530151367188e+01
1.464000000000000000e+08,3.697745513916015625e+01
1.480166720000000000e+08,3.651477050781250000e+01
1.496333280000000000e+08,3.628586959838867188e+01
1.512500000000000000e+08,3.668615722656250000e+01
1.528666720000000000e+08,3.645416641235351562e+01
1.544833280000000000e+08,3.655120468139648438e+01
1.561000000000000000e+08,3.645644760131835938e+01
1.577166720000000000e+08,3.586606979370117188e+01
1.593333280000000000e+08,3.627498626708984375e+01
1.609500000000000000e+08,3.626560592651367188e+01
1.625666720000000000e+08,3.622480392456054688e+01
1.641833280000000000e+08,3.687778091430664062e+01
1.658000000000000000e+08,3.665630722045898438e+01
1.674166720000000000e+08,3.656188583374023438e+01
1.690333280000000000e+08,3.592425918579101562e+01
1.706500000000000000e+08,3.636771392822265625e+01
1.722666720000000000e+08,3.638343048095703125e+01
1.738833280000000000e+08,3.645900344848632812e+01
1.755000000000000000e+08,3.678347396850585938e+01
1.771166720000000000e+08,3.608454132080078125e+01
1.787333280000000000e+08,3.667623519897460938e+01
1.803500000000000000e+08,3.692998504638671875e+01
1.819666720000000000e+08,3.565112686157226562e+01
1.835833280000000000e+08,3.553291702270507812e+01
