# f[Hz], a[dB]
3.000000000000000000e+07,3.522643280029296875e+01
3.161666600000000000e+07,3.569892501831054688e+01
3.323333400000000000e+07,3.524291229248046875e+01
3.485000000000000000e+07,3.580711746215820312e+01
3.646666800000000000e+07,3.524644088745117188e+01
3.808333200000000000e+07,3.553471755981445312e+01
3.970000000000000000e+07,3.563810348510742188e+01
4.131666800000000000e+07,3.547584915161132812e+01
4.293333200000000000e+07,3.585438919067382812e+01
4.455000000000000000e+07,3.571618652343750000e+01
4.616666800000000000e+07,3.551250076293945312e+01
4.778333200000000000e+07,3.553472518920898438e+01
4.940000000000000000e+07,3.539565658569335938e+01
5.101666800000000000e+07,3.561454391479492188e+01
5.263333200000000000e+07,3.612660598754882812e+01
5.425000000000000000e+07,3.508440017700195312e+01
5.586666800000000000e+07,3.541178131103515625e+01
5.748333200000000000e+07,3.533739089965820312e+01
5.910000000000000000e+07,3.541910934448242188e+01
6.071666800000000000e+07,3.566075134277343750e+01
6.233333200000000000e+07,3.581513214111328125e+01
6.395000000000000000e+07,3.580733871459960938e+01
6.556666800000000000e+07,3.545208358764648438e+01
6.718333600000000000e+07,3.586925125122070312e+01
6.880000000000000000e+07,3.572637939453125000e+01
7.041666400000000000e+07,3.594721984863281250e+01
7.203333600000000000e+07,3.621627044677734375e+01
7.365000000000000000e+07,3.627677917480468750e+01
7.526666400000000000e+07,3.606369400024414062e+01
7.688333600000000000e+07,3.558875656127929688e+01
7.850000000000000000e+07,3.571184539794921875e+01
8.011666400000000000e+07,3.635855865478515625e+01
8.173333600000000000e+07,3.615667343139648438e+01
8.335000000000000000e+07,3.565702438354492188e+01
8.496666400000000000e+07,3.623424148559570312e+01
8.658333600000000000e+07,3.635644531250000000e+01
8.820000000000000000e+07,3.658059310913085938e+01
8.981666400000000000e+07,3.548697662353515625e+01
9.143333600000000000e+07,3.578536605834960938e+01
9.305000000000000000e+07,3.617287445068359375e+01
9.466666400000000000e+07,3.569332122802734375e+01
9.628333600000000000e+07,3.628577041625976562e+01
9.790000000000000000e+07,3.648640823364257812e+01
9.951666400000000000e+07,3.665517044067382812e+01
1.011333360000000000e+08,3.617991256713867188e+01
1.027500000000000000e+08,3.634502792358398438e+01
1.043666640000000000e+08,3.567831420898437500e+01
1.059833360000000000e+08,3.667447280883789062e+01
1.076000000000000000e+08,3.612605285644531250e+01
1.092166640000000000e+08,3.622771835327148438e+01
1.108333360000000000e+08,3.606475830078125000e+01
1.124500000000000000e+08,3.578513336181640625e+01
1.140666640000000000e+08,3.628534698486328125e+01
1.156833360000000000e+08,3.581329727172851562e+01
1.173000000000000000e+08,3.615857315063476562e+01
1.189166640000000000e+08,3.610728836059570312e+01
1.205333360000000000e+08,3.670800399780273438e+01
1.221500000000000000e+08,3.615487289428710938e+01
1.237666640000000000e+08,3.610248565673828125e+01
1.253833360000000000e+08,3.638851547241210938e+01
1.270000000000000000e+08,3.577244567871093750e+01
1.286166640000000000e+08,3.622859573364257812e+01
1.302333360000000000e+08,3.627669906616210938e+01
1.318500000000000000e+08,3.687941741943359375e+01
1.334666640000000000e+08,3.525255966186523438e+01
1.350833280000000000e+08,3.593676757812500000e+01
1.367000000000000000e+08,3.627705383300781250e+01
1.383166720000000000e+08,3.599834823608398438e+01
1.399333280000000000e+08,3.579808425903320312e+01
1.415500000000000000e+08,3.576367950439453125e+01
1.431666720000000000e+08,3.591317749023437500e+01
1.447833280000000000e+08,3.622348785400390625e+01
1.464000000000000000e+08,3.674995803833007812e+01
1.480166720000000000e+08,3.768309783935546875e+01
1.496333280000000000e+08,3.635116577148437500e+01
1.512500000000000000e+08,3.644478607177734375e+01
1.528666720000000000e+08,3.680024337768554688e+01
1.544833280000000000e+08,3.626425933837890625e+01
1.561000000000000000e+08,3.675385665893554688e+01
1.577166720000000000e+08,3.639145278930664062e+01
1.593333280000000000e+08,3.621612167358398438e+01
1.609500000000000000e+08,3.698054885864257812e+01
1.625666720000000000e+08,3.673279571533203125e+01
1.641833280000000000e+08,3.625072097778320312e+01
1.658000000000000000e+08,3.647920227050781250e+01
1.674166720000000000e+08,3.666140747070312500e+01
1.690333280000000000e+08,3.665558242797851562e+01
1.706500000000000000e+08,3.681969070434570312e+01
1.722666720000000000e+08,3.622231674194335938e+01
1.738833280000000000e+08,3.639361572265625000e+01
1.755000000000000000e+08,3.616890716552734375e+01
1.771166720000000000e+08,3.662743377685546875e+01
1.787333280000000000e+08,3.647091674804687500e+01
1.803500000000000000e+08,3.660730743408203125e+01
1.819666720000000000e+08,3.591231536865234375e+01
1.835833280000000000e+08,3.653344345092773438e+01
1.852000000000000000e+08,3.642298126220703125e+01
1.868166720000000000e+08,3.653229141235351562e+01
1.884333280000000000e+08,3.593794631958007812e+01
1.900500000000000000e+08,3.634227371215820312e+01
1.916666720000000000e+08,3.646272659301757812e+01
1.932833280000000000e+08,3.564532852172851562e+01
1.949000000000000000e+08,3.602815246582031250e+01
1.965166720000000000e+08,3.579978179931640625e+01
1.981333280000000000e+08,3.624441146850585938e+01
1.997500000000000000e+08,3.656643676757812500e+01
2.013666720000000000e+08,3.591860580444335938e+01
2.029833280000000000e+08,3.599268341064453125e+01
2.046000000000000000e+08,3.655007934570312500e+01
2.062166720000000000e+08,3.664853286743164062e+01
2.078333280000000000e+08,3.601185989379882812e+01
2.094500000000000000e+08,3.561157989501953125e+01
2.110666720000000000e+08,3.621176910400390625e+01
2.126833280000000000e+08,3.577088546752929688e+01
2.143000000000000000e+08,3.564977264404296875e+01
2.159166720000000000e+08,3.613526535034179688e+01
2.175333280000000000e+08,3.629694366455078125e+01
2.191500000000000000e+08,3.611366653442382812e+01
2.207666720000000000e+08,3.601682662963867188e+01
