# f[Hz], a[dB]
3.000000000000000000e+07,3.536220550537109375e+01
3.161666600000000000e+07,3.535820770263671875e+01
3.323333400000000000e+07,3.563244628906250000e+01
3.485000000000000000e+07,3.602930068969726562e+01
3.646666800000000000e+07,3.608207321166992188e+01
3.808333200000000000e+07,3.470774841308593750e+01
3.970000000000000000e+07,3.526291275024414062e+01
4.131666800000000000e+07,3.640887451171875000e+01
4.293333200000000000e+07,3.565247726440429688e+01
4.455000000000000000e+07,3.579753494262695312e+01
4.616666800000000000e+07,3.491498565673828125e+01
4.778333200000000000e+07,3.498360824584960938e+01
4.940000000000000000e+07,3.531598281860351562e+01
5.101666800000000000e+07,3.592113876342773438e+01
5.263333200000000000e+07,3.609529495239257812e+01
5.425000000000000000e+07,3.577601242065429688e+01
5.586666800000000000e+07,3.546306991577148438e+01
5.748333200000000000e+07,3.555946731567382812e+01
5.910000000000000000e+07,3.451641082763671875e+01
6.071666800000000000e+07,3.591919708251953125e+01
6.233333200000000000e+07,3.634235763549804688e+01
6.395000000000000000e+07,3.571318817138671875e+01
6.556666800000000000e+07,3.505497360229492188e+01
6.718333600000000000e+07,3.529954147338867188e+01
6.880000000000000000e+07,3.560715103149414062e+01
7.041666400000000000e+07,3.566914749145507812e+01
7.203333600000000000e+07,3.624652862548828125e+01
7.365000000000000000e+07,3.638372802734375000e+01
7.526666400000000000e+07,3.550607299804687500e+01
7.688333600000000000e+07,3.538919830322265625e+01
7.850000000000000000e+07,3.637163543701171875e+01
8.011666400000000000e+07,3.543814849853515625e+01
8.173333600000000000e+07,3.676773834228515625e+01
8.335000000000000000e+07,3.607714843750000000e+01
8.496666400000000000e+07,3.523804092407226562e+01
8.658333600000000000e+07,3.571897888183593750e+01
8.820000000000000000e+07,3.543806457519531250e+01
8.981666400000000000e+07,3.583781433105468750e+01
9.143333600000000000e+07,3.639411926269531250e+01
9.305000000000000000e+07,3.643696212768554688e+01
9.466666400000000000e+07,3.575993728637695312e+01
9.628333600000000000e+07,3.626467895507812500e+01
9.790000000000000000e+07,3.622847366333007812e+01
9.951666400000000000e+07,3.598035430908203125e+01
1.011333360000000000e+08,3.557005310058593750e+01
1.027500000000000000e+08,3.701381301879882812e+01
1.043666640000000000e+08,3.645990753173828125e+01
1.059833360000000000e+08,3.642466735839843750e+01
1.076000000000000000e+08,3.605084991455078125e+01
1.092166640000000000e+08,3.583780670166015625e+01
1.108333360000000000e+08,3.639269256591796875e+01
1.124500000000000000e+08,3.618632888793945312e+01
1.140666640000000000e+08,3.591769027709960938e+01
1.156833360000000000e+08,3.666423416137695312e+01
1.173000000000000000e+08,3.606560134887695312e+01
1.189166640000000000e+08,3.577546310424804688e+01
1.205333360000000000e+08,3.679344558715820312e+01
1.221500000000000000e+08,3.626005172729492188e+01
1.237666640000000000e+08,3.658383941650390625e+01
1.253833360000000000e+08,3.582677841186523438e+01
1.270000000000000000e+08,3.637371444702148438e+01
1.286166640000000000e+08,3.598631286621093750e+01
1.302333360000000000e+08,3.656764221191406250e+01
1.318500000000000000e+08,3.607926559448242188e+01
1.334666640000000000e+08,3.624184417724609375e+01
1.350833280000000000e+08,3.605721282958984375e+01
1.367000000000000000e+08,3.606958770751953125e+01
1.383166720000000000e+08,3.648834609985351562e+01
1.399333280000000000e+08,3.669032287597656250e+01
1.415500000000000000e+08,3.569777679443359375e+01
1.431666720000000000e+08,3.611428451538085938e+01
1.447833280000000000e+08,3.641483688354492188e+01
1.464000000000000000e+08,3.600823974609375000e+01
1.480166720000000000e+08,3.637108993530273438e+01
1.496333280000000000e+08,3.572871398925781250e+01
1.512500000000000000e+08,3.615736770629882812e+01
1.528666720000000000e+08,3.604672622680664062e+01
1.544833280000000000e+08,3.661671066284179688e+01
1.561000000000000000e+08,3.687604141235351562e+01
1.577166720000000000e+08,3.629805755615234375e+01
1.593333280000000000e+08,3.643299484252929688e+01
1.609500000000000000e+08,3.682651138305664062e+01
1.625666720000000000e+08,3.622023010253906250e+01
1.641833280000000000e+08,3.589167022705078125e+01
1.658000000000000000e+08,3.613437652587890625e+01
1.674166720000000000e+08,3.548582839965820312e+01
1.690333280000000000e+08,3.587446594238281250e+01
1.706500000000000000e+08,3.607562255859375000e+01
1.722666720000000000e+08,3.674058151245117188e+01
1.738833280000000000e+08,3.678328704833984375e+01
1.755000000000000000e+08,3.626049804687500000e+01
1.771166720000000000e+08,3.606943893432617188e+01
1.787333280000000000e+08,3.687631225585937500e+01
1.803500000000000000e+08,3.594951248168945312e+01
1.819666720000000000e+08,3.657195281982421875e+01
1.835833280000000000e+08,3.605813217163085938e+01
1.852000000000000000e+08,3.547813796997070312e+01
1.868166720000000000e+08,3.592723083496093750e+01
1.884333280000000000e+08,3.619316482543945312e+01
1.900500000000000000e+08,3.638100814819335938e+01
1.916666720000000000e+08,3.668957138061523438e+01
1.932833280000000000e+08,3.638980484008789062e+01
1.949000000000000000e+08,3.576761627197265625e+01
1.965166720000000000e+08,3.618619918823242188e+01
1.981333280000000000e+08,3.585005950927734375e+01
1.997500000000000000e+08,3.661497497558593750e+01
2.013666720000000000e+08,3.659498977661132812e+01
2.029833280000000000e+08,3.593494415283203125e+01
2.046000000000000000e+08,3.556765365600585938e+01
2.062166720000000000e+08,3.666867446899414062e+01
2.078333280000000000e+08,3.594009017944335938e+01
2.094500000000000000e+08,3.627463531494140625e+01
2.110666720000000000e+08,3.593099975585937500e+01
2.126833280000000000e+08,3.570572662353515625e+01
2.143000000000000000e+08,3.640604782104492188e+01
2.159166720000000000e+08,3.641937255859375000e+01
2.175333280000000000e+08,3.600160217285156250e+01
2.191500000000000000e+08,3.581409072875976562e+01
2.207666720000000000e+08,3.654324340820312500e+01
2.223833280000000000e+08,3.649798202514648438e+01
2.240000000000000000e+08,3.622826385498046875e+01
2.256166720000000000e+08,3.574081420898437500e+01
2.272333280000000000e+08,3.582528686523437500e+01
2.288500000000000000e+08,3.568597793579101562e+01
2.304666720000000000e+08,3.590838241577148438e+01
2.320833280000000000e+08,3.628491973876953125e+01
2.337000000000000000e+08,3.555900573730468750e+01
2.353166720000000000e+08,3.600373458862304688e+01
2.369333280000000000e+08,3.615649414062500000e+01
2.385500000000000000e+08,3.612591552734375000e+01
2.401666720000000000e+08,3.568825149536132812e+01
2.417833280000000000e+08,3.624814224243164062e+01
2.434000000000000000e+08,3.637658309936523438e+01
2.450166720000000000e+08,3.657027435302734375e+01
2.466333280000000000e+08,3.629469680786132812e+01
2.482500000000000000e+08,3.667597198486328125e+01
2.498666720000000000e+08,3.608683395385742188e+01
2.514833280000000000e+08,3.573377227783203125e+01
2.531000000000000000e+08,3.572716903686523438e+01
2.547166720000000000e+08,3.663390350341796875e+01
2.563333280000000000e+08,3.619767761230468750e+01
2.579500000000000000e+08,3.576779937744140625e+01
2.595666720000000000e+08,3.577394485473632812e+01
2.611833280000000000e+08,3.656895828247070312e+01
2.628000000000000000e+08,3.584415054321289062e+01
2.644166720000000000e+08,3.595414352416992188e+01
2.660333280000000000e+08,3.606076812744140625e+01
2.676500000000000000e+08,3.634055328369140625e+01
2.692666560000000000e+08,3.608585739135742188e+01
2.708833280000000000e+08,3.620759582519531250e+01
2.725000000000000000e+08,3.625634765625000000e+01
2.741166720000000000e+08,3.604647064208984375e+01
2.757333440000000000e+08,3.546809387207031250e+01
2.773500160000000000e+08,3.658770751953125000e+01
2.789666560000000000e+08,3.640856170654296875e+01
2.805833280000000000e+08,3.623110198974609375e+01
2.822000000000000000e+08,3.598913955688476562e+01
2.838166720000000000e+08,3.541789245605468750e+01
2.854333440000000000e+08,3.592726898193359375e+01
2.870499840000000000e+08,3.609248352050781250e+01
2.886666560000000000e+08,3.705148315429687500e+01
2.902833280000000000e+08,3.641352462768554688e+01
2.919000000000000000e+08,3.612069702148437500e+01
2.935166720000000000e+08,3.613730239868164062e+01
2.951333440000000000e+08,3.712742996215820312e+01
2.967500160000000000e+08,3.850582122802734375e+01
2.983666560000000000e+08,3.672106552124023438e+01
2.999833280000000000e+08,3.681507873535156250e+01
3.016000000000000000e+08,3.706209564208984375e+01
3.032166720000000000e+08,3.650616073608398438e+01
3.048333440000000000e+08,3.686529922485351562e+01
3.064499840000000000e+08,3.686086273193359375e+01
3.080666560000000000e+08,3.677753448486328125e+01
3.096833280000000000e+08,3.668834304809570312e+01
3.113000000000000000e+08,3.669133758544921875e+01
3.129166720000000000e+08,3.650026321411132812e+01
3.145333440000000000e+08,3.608876419067382812e+01
3.161500160000000000e+08,3.633937454223632812e+01
3.177666560000000000e+08,3.609315109252929688e+01
3.193833280000000000e+08,3.628100585937500000e+01
3.210000000000000000e+08,3.603989028930664062e+01
3.226166720000000000e+08,3.657308197021484375e+01
3.242333440000000000e+08,3.594318008422851562e+01
3.258499840000000000e+08,3.564248275756835938e+01
3.274666560000000000e+08,3.616602325439453125e+01
3.290833280000000000e+08,3.601321411132812500e+01
3.307000000000000000e+08,3.636379623413085938e+01
3.323166720000000000e+08,3.564948272705078125e+01
3.339333440000000000e+08,3.659158325195312500e+01
3.355500160000000000e+08,3.590798568725585938e+01
3.371666560000000000e+08,3.574937057495117188e+01
3.387833280000000000e+08,3.676781463623046875e+01
3.404000000000000000e+08,3.628374481201171875e+01
3.420166720000000000e+08,3.713080215454101562e+01
3.436333440000000000e+08,3.664720916748046875e+01
3.452499840000000000e+08,3.636003875732421875e+01
3.468666560000000000e+08,3.673878097534179688e+01
3.484833280000000000e+08,3.665717315673828125e+01
3.501000000000000000e+08,3.676551818847656250e+01
3.517166720000000000e+08,3.639606475830078125e+01
3.533333440000000000e+08,3.701771163940429688e+01
3.549500160000000000e+08,3.673848342895507812e+01
3.565666560000000000e+08,3.607222747802734375e+01
3.581833280000000000e+08,3.673889160156250000e+01
3.598000000000000000e+08,3.704644393920898438e+01
3.614166720000000000e+08,3.670392227172851562e+01
3.630333440000000000e+08,3.628424072265625000e+01
3.646499840000000000e+08,3.642739868164062500e+01
3.662666560000000000e+08,3.703071212768554688e+01
3.678833280000000000e+08,3.745580291748046875e+01
3.695000000000000000e+08,3.697420883178710938e+01
3.711166720000000000e+08,3.704928588867187500e+01
3.727333440000000000e+08,3.732518768310546875e+01
3.743500160000000000e+08,3.677660751342773438e+01
3.759666560000000000e+08,3.700605773925781250e+01
3.775833280000000000e+08,3.652635955810546875e+01
3.792000000000000000e+08,3.688632202148437500e+01
3.808166720000000000e+08,3.700434494018554688e+01
3.824333440000000000e+08,3.740402603149414062e+01
3.840499840000000000e+08,3.685414123535156250e+01
3.856666560000000000e+08,3.703881835937500000e+01
3.872833280000000000e+08,3.653672790527343750e+01
3.889000000000000000e+08,3.638376998901367188e+01
3.905166720000000000e+08,3.704439163208007812e+01
3.921333440000000000e+08,3.656708145141601562e+01
3.937500160000000000e+08,3.678937149047851562e+01
3.953666560000000000e+08,3.690645980834960938e+01
3.969833280000000000e+08,3.692363357543945312e+01
3.986000000000000000e+08,3.700350952148437500e+01
4.002166720000000000e+08,3.766153335571289062e+01
4.018333440000000000e+08,3.729209518432617188e+01
4.034499840000000000e+08,3.735261154174804688e+01
4.050666560000000000e+08,3.826001739501953125e+01
4.066833280000000000e+08,3.665847396850585938e+01
4.083000000000000000e+08,3.711493301391601562e+01
4.099166720000000000e+08,3.765733337402343750e+01
4.115333440000000000e+08,3.733560180664062500e+01
4.131500160000000000e+08,3.706281280517578125e+01
4.147666560000000000e+08,3.698451232910156250e+01
4.163833280000000000e+08,3.731135940551757812e+01
4.180000000000000000e+08,3.695438003540039062e+01
4.196166720000000000e+08,3.801745605468750000e+01
4.212333440000000000e+08,3.770106506347656250e+01
4.228499840000000000e+08,3.827140045166015625e+01
4.244666560000000000e+08,3.724676513671875000e+01
4.260833280000000000e+08,3.724531555175781250e+01
4.277000000000000000e+08,3.732966232299804688e+01
4.293166720000000000e+08,3.733267211914062500e+01
4.309333440000000000e+08,3.721318054199218750e+01
4.325500160000000000e+08,3.719279098510742188e+01
4.341666560000000000e+08,3.787660598754882812e+01
4.357833280000000000e+08,3.795356750488281250e+01
4.374000000000000000e+08,3.819125747680664062e+01
4.390166720000000000e+08,3.747712707519531250e+01
4.406333440000000000e+08,3.741951370239257812e+01
4.422499840000000000e+08,3.691965484619140625e+01
4.438666560000000000e+08,3.814741134643554688e+01
4.454833280000000000e+08,3.761130905151367188e+01
4.471000000000000000e+08,3.756899261474609375e+01
4.487166720000000000e+08,3.762755584716796875e+01
4.503333440000000000e+08,3.756764984130859375e+01
4.519500160000000000e+08,3.723598480224609375e+01
4.535666560000000000e+08,3.734139633178710938e+01
4.551833280000000000e+08,3.735723876953125000e+01
4.568000000000000000e+08,3.757522964477539062e+01
