# f[Hz], a[dB]
3.000000000000000000e+07,3.559537506103515625e+01
3.161666600000000000e+07,3.535848999023437500e+01
3.323333400000000000e+07,3.490391540527343750e+01
3.485000000000000000e+07,3.549758529663085938e+01
3.646666800000000000e+07,3.620157241821289062e+01
3.808333200000000000e+07,3.567076873779296875e+01
3.970000000000000000e+07,3.577652359008789062e+01
4.131666800000000000e+07,3.537751770019531250e+01
4.293333200000000000e+07,3.567689514160156250e+01
4.455000000000000000e+07,3.583785629272460938e+01
4.616666800000000000e+07,3.584306335449218750e+01
4.778333200000000000e+07,3.593774795532226562e+01
4.940000000000000000e+07,3.583498764038085938e+01
5.101666800000000000e+07,3.577025222778320312e+01
5.263333200000000000e+07,3.505240249633789062e+01
5.425000000000000000e+07,3.516896820068359375e+01
5.586666800000000000e+07,3.546064758300781250e+01
5.748333200000000000e+07,3.592293167114257812e+01
5.910000000000000000e+07,3.545316314697265625e+01
6.071666800000000000e+07,3.529673004150390625e+01
6.233333200000000000e+07,3.549569702148437500e+01
6.395000000000000000e+07,3.566554641723632812e+01
6.556666800000000000e+07,3.565038299560546875e+01
6.718333600000000000e+07,3.572764968872070312e+01
6.880000000000000000e+07,3.559029769897460938e+01
7.041666400000000000e+07,3.563697433471679688e+01
7.203333600000000000e+07,3.565043640136718750e+01
7.365000000000000000e+07,3.606498336791992188e+01
7.526666400000000000e+07,3.580669784545898438e+01
7.688333600000000000e+07,3.545845413208007812e+01
7.850000000000000000e+07,3.596665573120117188e+01
8.011666400000000000e+07,3.715184783935546875e+01
8.173333600000000000e+07,3.587247467041015625e+01
8.335000000000000000e+07,3.595668029785156250e+01
8.496666400000000000e+07,3.543241119384765625e+01
8.658333600000000000e+07,3.617863082885742188e+01
8.820000000000000000e+07,3.623808288574218750e+01
8.981666400000000000e+07,3.550984191894531250e+01
9.143333600000000000e+07,3.632092285156250000e+01
9.305000000000000000e+07,3.630147171020507812e+01
9.466666400000000000e+07,3.629334640502929688e+01
9.628333600000000000e+07,3.597869110107421875e+01
9.790000000000000000e+07,3.637025833129882812e+01
9.951666400000000000e+07,3.647080993652343750e+01
1.011333360000000000e+08,3.581042098999023438e+01
1.027500000000000000e+08,3.657296371459960938e+01
1.043666640000000000e+08,3.636696624755859375e+01
1.059833360000000000e+08,3.650235366821289062e+01
1.076000000000000000e+08,3.646067047119140625e+01
1.092166640000000000e+08,3.604056167602539062e+01
1.108333360000000000e+08,3.617306900024414062e+01
1.124500000000000000e+08,3.665537261962890625e+01
1.140666640000000000e+08,3.667989349365234375e+01
1.156833360000000000e+08,3.536380767822265625e+01
1.173000000000000000e+08,3.589266586303710938e+01
1.189166640000000000e+08,3.615644073486328125e+01
1.205333360000000000e+08,3.629577255249023438e+01
1.221500000000000000e+08,3.644720840454101562e+01
1.237666640000000000e+08,3.605292510986328125e+01
1.253833360000000000e+08,3.659167480468750000e+01
1.270000000000000000e+08,3.610169601440429688e+01
1.286166640000000000e+08,3.656571197509765625e+01
1.302333360000000000e+08,3.667252731323242188e+01
1.318500000000000000e+08,3.617810440063476562e+01
1.334666640000000000e+08,3.608190536499023438e+01
1.350833280000000000e+08,3.631008529663085938e+01
1.367000000000000000e+08,3.651108932495117188e+01
1.383166720000000000e+08,3.576407623291015625e+01
1.399333280000000000e+08,3.628570556640625000e+01
1.415500000000000000e+08,3.654467010498046875e+01
1.431666720000000000e+08,3.631854248046875000e+01
1.447833280000000000e+08,3.684248352050781250e+01
1.464000000000000000e+08,3.607234191894531250e+01
1.480166720000000000e+08,3.913380432128906250e+01
1.496333280000000000e+08,3.663013839721679688e+01
1.512500000000000000e+08,3.636739349365234375e+01
1.528666720000000000e+08,3.630759811401367188e+01
1.544833280000000000e+08,3.586762619018554688e+01
1.561000000000000000e+08,3.612510299682617188e+01
1.577166720000000000e+08,3.630593872070312500e+01
1.593333280000000000e+08,3.638555145263671875e+01
1.609500000000000000e+08,3.693497085571289062e+01
1.625666720000000000e+08,3.666546249389648438e+01
1.641833280000000000e+08,3.596202468872070312e+01
1.658000000000000000e+08,3.616283035278320312e+01
1.674166720000000000e+08,3.657891464233398438e+01
1.690333280000000000e+08,3.612952423095703125e+01
1.706500000000000000e+08,3.659004592895507812e+01
1.722666720000000000e+08,3.648897552490234375e+01
1.738833280000000000e+08,3.632614517211914062e+01
1.755000000000000000e+08,3.648644638061523438e+01
1.771166720000000000e+08,3.590727233886718750e+01
1.787333280000000000e+08,3.713448715209960938e+01
1.803500000000000000e+08,3.654366683959960938e+01
1.819666720000000000e+08,3.643085098266601562e+01
1.835833280000000000e+08,3.672158432006835938e+01
1.852000000000000000e+08,3.625872802734375000e+01
1.868166720000000000e+08,3.648652648925781250e+01
1.884333280000000000e+08,3.659435653686523438e+01
1.900500000000000000e+08,3.611531829833984375e+01
1.916666720000000000e+08,3.630055236816406250e+01
1.932833280000000000e+08,3.628978729248046875e+01
1.949000000000000000e+08,3.649671173095703125e+01
1.965166720000000000e+08,3.621837234497070312e+01
1.981333280000000000e+08,3.624966812133789062e+01
1.997500000000000000e+08,3.645319747924804688e+01
2.013666720000000000e+08,3.691954803466796875e+01
2.029833280000000000e+08,3.649222183227539062e+01
2.046000000000000000e+08,3.649685668945312500e+01
2.062166720000000000e+08,3.597891616821289062e+01
2.078333280000000000e+08,3.627807998657226562e+01
2.094500000000000000e+08,3.651438903808593750e+01
2.110666720000000000e+08,3.587110137939453125e+01
2.126833280000000000e+08,3.576600646972656250e+01
2.143000000000000000e+08,3.572832489013671875e+01
2.159166720000000000e+08,3.583935546875000000e+01
2.175333280000000000e+08,3.628099822998046875e+01
2.191500000000000000e+08,3.624816513061523438e+01
2.207666720000000000e+08,3.790388870239257812e+01
2.223833280000000000e+08,4.165178298950195312e+01
2.240000000000000000e+08,3.654428100585937500e+01
2.256166720000000000e+08,3.591402435302734375e+01
2.272333280000000000e+08,3.655673599243164062e+01
2.288500000000000000e+08,3.598680114746093750e+01
2.304666720000000000e+08,3.611109924316406250e+01
2.320833280000000000e+08,3.621107101440429688e+01
2.337000000000000000e+08,3.613051986694335938e+01
2.353166720000000000e+08,3.625148010253906250e+01
2.369333280000000000e+08,3.585585021972656250e+01
2.385500000000000000e+08,3.602183532714843750e+01
2.401666720000000000e+08,3.620881271362304688e+01
2.417833280000000000e+08,3.614853286743164062e+01
2.434000000000000000e+08,3.614815902709960938e+01
2.450166720000000000e+08,3.604784774780273438e+01
2.466333280000000000e+08,3.571952056884765625e+01
2.482500000000000000e+08,3.617529296875000000e+01
2.498666720000000000e+08,3.593490600585937500e+01
2.514833280000000000e+08,3.640192413330078125e+01
2.531000000000000000e+08,3.638205718994140625e+01
2.547166720000000000e+08,3.646881484985351562e+01
2.563333280000000000e+08,3.587031555175781250e+01
2.579500000000000000e+08,3.579214096069335938e+01
2.595666720000000000e+08,3.617713546752929688e+01
2.611833280000000000e+08,3.621040725708007812e+01
2.628000000000000000e+08,3.623561096191406250e+01
2.644166720000000000e+08,3.580662155151367188e+01
2.660333280000000000e+08,3.545763015747070312e+01
2.676500000000000000e+08,3.633548736572265625e+01
2.692666560000000000e+08,3.611082839965820312e+01
2.708833280000000000e+08,3.526918029785156250e+01
2.725000000000000000e+08,3.591448211669921875e+01
2.741166720000000000e+08,3.606118011474609375e+01
2.757333440000000000e+08,3.583385086059570312e+01
2.773500160000000000e+08,3.563398742675781250e+01
2.789666560000000000e+08,3.638906860351562500e+01
2.805833280000000000e+08,3.648308563232421875e+01
2.822000000000000000e+08,3.632746887207031250e+01
2.838166720000000000e+08,3.618125152587890625e+01
2.854333440000000000e+08,3.625223159790039062e+01
2.870499840000000000e+08,3.640774154663085938e+01
2.886666560000000000e+08,3.626314926147460938e+01
2.902833280000000000e+08,3.594495773315429688e+01
2.919000000000000000e+08,3.575715637207031250e+01
2.935166720000000000e+08,3.525066757202148438e+01
2.951333440000000000e+08,3.788107299804687500e+01
2.967500160000000000e+08,4.262009048461914062e+01
2.983666560000000000e+08,3.598145675659179688e+01
2.999833280000000000e+08,3.598078536987304688e+01
3.016000000000000000e+08,3.622175979614257812e+01
3.032166720000000000e+08,3.634737396240234375e+01
3.048333440000000000e+08,3.640974426269531250e+01
3.064499840000000000e+08,3.623446273803710938e+01
3.080666560000000000e+08,3.665054321289062500e+01
3.096833280000000000e+08,3.600061416625976562e+01
3.113000000000000000e+08,3.645808410644531250e+01
3.129166720000000000e+08,3.638673400878906250e+01
3.145333440000000000e+08,3.594029617309570312e+01
3.161500160000000000e+08,3.656655502319335938e+01
3.177666560000000000e+08,3.555556869506835938e+01
3.193833280000000000e+08,3.675405883789062500e+01
3.210000000000000000e+08,3.595854187011718750e+01
3.226166720000000000e+08,3.590367889404296875e+01
3.242333440000000000e+08,3.677439117431640625e+01
3.258499840000000000e+08,3.603778076171875000e+01
3.274666560000000000e+08,3.637150955200195312e+01
3.290833280000000000e+08,3.606238555908203125e+01
3.307000000000000000e+08,3.632019424438476562e+01
3.323166720000000000e+08,3.639299011230468750e+01
3.339333440000000000e+08,3.674183273315429688e+01
3.355500160000000000e+08,3.604201889038085938e+01
3.371666560000000000e+08,3.600566101074218750e+01
3.387833280000000000e+08,3.560714340209960938e+01
3.404000000000000000e+08,3.664495849609375000e+01
3.420166720000000000e+08,3.642067337036132812e+01
3.436333440000000000e+08,3.672552108764648438e+01
3.452499840000000000e+08,3.651033020019531250e+01
3.468666560000000000e+08,3.620118331909179688e+01
3.484833280000000000e+08,3.649143600463867188e+01
3.501000000000000000e+08,3.593118667602539062e+01
3.517166720000000000e+08,3.707422637939453125e+01
3.533333440000000000e+08,3.646643829345703125e+01
3.549500160000000000e+08,3.616875457763671875e+01
3.565666560000000000e+08,3.664155578613281250e+01
3.581833280000000000e+08,3.680716323852539062e+01
3.598000000000000000e+08,3.653487396240234375e+01
3.614166720000000000e+08,3.711056137084960938e+01
3.630333440000000000e+08,3.685519790649414062e+01
3.646499840000000000e+08,3.652842330932617188e+01
3.662666560000000000e+08,3.630877685546875000e+01
3.678833280000000000e+08,3.749105453491210938e+01
3.695000000000000000e+08,4.251585388183593750e+01
3.711166720000000000e+08,4.570895385742187500e+01
3.727333440000000000e+08,3.605191040039062500e+01
3.743500160000000000e+08,3.690951156616210938e+01
3.759666560000000000e+08,3.661234283447265625e+01
3.775833280000000000e+08,3.641234588623046875e+01
3.792000000000000000e+08,3.652393722534179688e+01
3.808166720000000000e+08,3.686457061767578125e+01
3.824333440000000000e+08,3.694911956787109375e+01
3.840499840000000000e+08,3.672541809082031250e+01
3.856666560000000000e+08,3.673141860961914062e+01
3.872833280000000000e+08,3.687170410156250000e+01
3.889000000000000000e+08,3.696649169921875000e+01
3.905166720000000000e+08,3.713831329345703125e+01
3.921333440000000000e+08,3.653876113891601562e+01
3.937500160000000000e+08,3.768883895874023438e+01
3.953666560000000000e+08,3.699684524536132812e+01
3.969833280000000000e+08,3.714862442016601562e+01
3.986000000000000000e+08,3.734225845336914062e+01
4.002166720000000000e+08,3.695727920532226562e+01
4.018333440000000000e+08,3.728819274902343750e+01
4.034499840000000000e+08,3.743251037597656250e+01
4.050666560000000000e+08,3.715289688110351562e+01
4.066833280000000000e+08,3.714566421508789062e+01
4.083000000000000000e+08,3.781676864624023438e+01
4.099166720000000000e+08,3.767686080932617188e+01
4.115333440000000000e+08,3.747223281860351562e+01
4.131500160000000000e+08,3.745891952514648438e+01
4.147666560000000000e+08,3.777500915527343750e+01
4.163833280000000000e+08,3.769838333129882812e+01
4.180000000000000000e+08,3.707274627685546875e+01
4.196166720000000000e+08,3.764606094360351562e+01
4.212333440000000000e+08,3.755857467651367188e+01
4.228499840000000000e+08,3.743582916259765625e+01
4.244666560000000000e+08,3.740994262695312500e+01
4.260833280000000000e+08,3.752213668823242188e+01
4.277000000000000000e+08,3.739416503906250000e+01
4.293166720000000000e+08,3.780335235595703125e+01
4.309333440000000000e+08,3.741894149780273438e+01
