# f[Hz], a[dB]
3.000000000000000000e+07,3.548878097534179688e+01
3.161666600000000000e+07,3.562226486206054688e+01
3.323333400000000000e+07,3.506291961669921875e+01
3.485000000000000000e+07,3.574023818969726562e+01
3.646666800000000000e+07,3.532252883911132812e+01
3.808333200000000000e+07,3.560134506225585938e+01
3.970000000000000000e+07,3.602332305908203125e+01
4.131666800000000000e+07,3.545146560668945312e+01
4.293333200000000000e+07,3.544791030883789062e+01
4.455000000000000000e+07,3.500265502929687500e+01
4.616666800000000000e+07,3.585989379882812500e+01
4.778333200000000000e+07,3.582551574707031250e+01
4.940000000000000000e+07,3.594107055664062500e+01
5.101666800000000000e+07,3.565544891357421875e+01
5.263333200000000000e+07,3.507740020751953125e+01
5.425000000000000000e+07,3.598995590209960938e+01
5.586666800000000000e+07,3.612925720214843750e+01
5.748333200000000000e+07,3.556688308715820312e+01
5.910000000000000000e+07,3.480523681640625000e+01
6.071666800000000000e+07,3.573494338989257812e+01
6.233333200000000000e+07,3.520800781250000000e+01
6.395000000000000000e+07,3.577657318115234375e+01
6.556666800000000000e+07,3.549983596801757812e+01
6.718333600000000000e+07,3.541826629638671875e+01
6.880000000000000000e+07,3.534096145629882812e+01
7.041666400000000000e+07,3.572426605224609375e+01
7.203333600000000000e+07,3.539506912231445312e+01
7.365000000000000000e+07,3.635006332397460938e+01
7.526666400000000000e+07,3.643266677856445312e+01
7.688333600000000000e+07,3.584878540039062500e+01
7.850000000000000000e+07,3.552372360229492188e+01
8.011666400000000000e+07,3.556945037841796875e+01
8.173333600000000000e+07,3.506211090087890625e+01
8.335000000000000000e+07,3.602663421630859375e+01
8.496666400000000000e+07,3.550774002075195312e+01
8.658333600000000000e+07,3.651784515380859375e+01
8.820000000000000000e+07,3.647794723510742188e+01
8.981666400000000000e+07,3.610025787353515625e+01
9.143333600000000000e+07,3.563262557983398438e+01
9.305000000000000000e+07,3.620349502563476562e+01
9.466666400000000000e+07,3.639662933349609375e+01
9.628333600000000000e+07,3.575229644775390625e+01
9.790000000000000000e+07,3.614617919921875000e+01
9.951666400000000000e+07,3.674347305297851562e+01
1.011333360000000000e+08,3.601330566406250000e+01
1.027500000000000000e+08,3.570564270019531250e+01
1.043666640000000000e+08,3.579560852050781250e+01
