# f[Hz], a[dB]
3.000000000000000000e+07,3.553654861450195312e+01
3.161666600000000000e+07,3.536270141601562500e+01
3.323333400000000000e+07,3.474680328369140625e+01
3.485000000000000000e+07,3.587578964233398438e+01
3.646666800000000000e+07,3.538226699829101562e+01
3.808333200000000000e+07,3.525977325439453125e+01
3.970000000000000000e+07,3.559181213378906250e+01
4.131666800000000000e+07,3.578454589843750000e+01
4.293333200000000000e+07,3.539678955078125000e+01
4.455000000000000000e+07,3.536777877807617188e+01
4.616666800000000000e+07,3.523559951782226562e+01
4.778333200000000000e+07,3.503316497802734375e+01
4.940000000000000000e+07,3.568524169921875000e+01
5.101666800000000000e+07,3.545523452758789062e+01
5.263333200000000000e+07,3.533746337890625000e+01
5.425000000000000000e+07,3.587596893310546875e+01
5.586666800000000000e+07,3.539011383056640625e+01
5.748333200000000000e+07,3.518275451660156250e+01
5.910000000000000000e+07,3.575684356689453125e+01
6.071666800000000000e+07,3.530498886108398438e+01
6.233333200000000000e+07,3.564057540893554688e+01
6.395000000000000000e+07,3.525578689575195312e+01
6.556666800000000000e+07,3.599905014038085938e+01
6.718333600000000000e+07,3.528312683105468750e+01
6.880000000000000000e+07,3.532788848876953125e+01
7.041666400000000000e+07,3.639714813232421875e+01
7.203333600000000000e+07,3.517228698730468750e+01
7.365000000000000000e+07,3.575870132446289062e+01
7.526666400000000000e+07,3.525269317626953125e+01
7.688333600000000000e+07,3.565047836303710938e+01
7.850000000000000000e+07,3.576744461059570312e+01
8.011666400000000000e+07,3.587213134765625000e+01
8.173333600000000000e+07,3.619905471801757812e+01
8.335000000000000000e+07,3.539513015747070312e+01
8.496666400000000000e+07,3.590695571899414062e+01
8.658333600000000000e+07,3.620410537719726562e+01
8.820000000000000000e+07,3.648914337158203125e+01
8.981666400000000000e+07,3.674978637695312500e+01
9.143333600000000000e+07,3.639261627197265625e+01
9.305000000000000000e+07,3.615044403076171875e+01
9.466666400000000000e+07,3.571977233886718750e+01
9.628333600000000000e+07,3.604106521606445312e+01
9.790000000000000000e+07,3.602581024169921875e+01
9.951666400000000000e+07,3.632439804077148438e+01
1.011333360000000000e+08,3.624923324584960938e+01
1.027500000000000000e+08,3.686081314086914062e+01
1.043666640000000000e+08,3.557851409912109375e+01
1.059833360000000000e+08,3.641801452636718750e+01
1.076000000000000000e+08,3.531955337524414062e+01
1.092166640000000000e+08,3.627510452270507812e+01
1.108333360000000000e+08,3.588677597045898438e+01
1.124500000000000000e+08,3.598335266113281250e+01
1.140666640000000000e+08,3.610663223266601562e+01
1.156833360000000000e+08,3.597870635986328125e+01
1.173000000000000000e+08,3.580750274658203125e+01
1.189166640000000000e+08,3.655661773681640625e+01
1.205333360000000000e+08,3.619257736206054688e+01
1.221500000000000000e+08,3.655561828613281250e+01
1.237666640000000000e+08,3.610202026367187500e+01
1.253833360000000000e+08,3.651258087158203125e+01
1.270000000000000000e+08,3.658704376220703125e+01
1.286166640000000000e+08,3.642848205566406250e+01
1.302333360000000000e+08,3.660578155517578125e+01
1.318500000000000000e+08,3.611116790771484375e+01
1.334666640000000000e+08,3.682022857666015625e+01
1.350833280000000000e+08,3.707713699340820312e+01
1.367000000000000000e+08,3.573154830932617188e+01
1.383166720000000000e+08,3.685723114013671875e+01
1.399333280000000000e+08,3.617952346801757812e+01
1.415500000000000000e+08,3.622956848144531250e+01
1.431666720000000000e+08,3.673548889160156250e+01
1.447833280000000000e+08,3.582830047607421875e+01
1.464000000000000000e+08,3.545499038696289062e+01
1.480166720000000000e+08,3.687551879882812500e+01
1.496333280000000000e+08,3.575852966308593750e+01
1.512500000000000000e+08,3.669082260131835938e+01
1.528666720000000000e+08,3.575407791137695312e+01
1.544833280000000000e+08,3.673011016845703125e+01
1.561000000000000000e+08,3.665013504028320312e+01
1.577166720000000000e+08,3.605664825439453125e+01
1.593333280000000000e+08,3.594656372070312500e+01
1.609500000000000000e+08,3.589819335937500000e+01
1.625666720000000000e+08,3.618979644775390625e+01
1.641833280000000000e+08,3.650335311889648438e+01
1.658000000000000000e+08,3.646321868896484375e+01
1.674166720000000000e+08,3.645409011840820312e+01
1.690333280000000000e+08,3.656993484497070312e+01
1.706500000000000000e+08,3.640322113037109375e+01
1.722666720000000000e+08,3.669499588012695312e+01
1.738833280000000000e+08,3.611083602905273438e+01
1.755000000000000000e+08,3.655696105957031250e+01
1.771166720000000000e+08,3.604062271118164062e+01
1.787333280000000000e+08,3.660234832763671875e+01
1.803500000000000000e+08,3.580659866333007812e+01
1.819666720000000000e+08,3.532107925415039062e+01
1.835833280000000000e+08,3.635867691040039062e+01
1.852000000000000000e+08,3.624699783325195312e+01
1.868166720000000000e+08,3.632633972167968750e+01
1.884333280000000000e+08,3.663174819946289062e+01
1.900500000000000000e+08,3.622351837158203125e+01
1.916666720000000000e+08,3.609833908081054688e+01
1.932833280000000000e+08,3.689735412597656250e+01
1.949000000000000000e+08,3.633354568481445312e+01
1.965166720000000000e+08,3.641180419921875000e+01
1.981333280000000000e+08,3.618877792358398438e+01
1.997500000000000000e+08,3.624002075195312500e+01
2.013666720000000000e+08,3.568172836303710938e+01
2.029833280000000000e+08,3.615327072143554688e+01
2.046000000000000000e+08,3.602523422241210938e+01
2.062166720000000000e+08,3.644437026977539062e+01
2.078333280000000000e+08,3.571321105957031250e+01
2.094500000000000000e+08,3.592789459228515625e+01
2.110666720000000000e+08,3.603776550292968750e+01
2.126833280000000000e+08,3.593696975708007812e+01
2.143000000000000000e+08,3.666616821289062500e+01
2.159166720000000000e+08,3.673953247070312500e+01
2.175333280000000000e+08,3.619889068603515625e+01
2.191500000000000000e+08,3.640173339843750000e+01
2.207666720000000000e+08,3.557918167114257812e+01
2.223833280000000000e+08,3.695154190063476562e+01
2.240000000000000000e+08,3.613291168212890625e+01
2.256166720000000000e+08,3.616532516479492188e+01
2.272333280000000000e+08,3.637469863891601562e+01
2.288500000000000000e+08,3.562259292602539062e+01
2.304666720000000000e+08,3.609349441528320312e+01
2.320833280000000000e+08,3.558912277221679688e+01
2.337000000000000000e+08,3.583005523681640625e+01
2.353166720000000000e+08,3.607963943481445312e+01
2.369333280000000000e+08,3.550309371948242188e+01
2.385500000000000000e+08,3.609661483764648438e+01
2.401666720000000000e+08,3.612482452392578125e+01
2.417833280000000000e+08,3.547620773315429688e+01
2.434000000000000000e+08,3.588798904418945312e+01
2.450166720000000000e+08,3.597031021118164062e+01
2.466333280000000000e+08,3.585932922363281250e+01
2.482500000000000000e+08,3.523139953613281250e+01
2.498666720000000000e+08,3.579707336425781250e+01
2.514833280000000000e+08,3.521351623535156250e+01
2.531000000000000000e+08,3.559007644653320312e+01
2.547166720000000000e+08,3.598651123046875000e+01
2.563333280000000000e+08,3.610566711425781250e+01
2.579500000000000000e+08,3.672058105468750000e+01
2.595666720000000000e+08,3.578995132446289062e+01
2.611833280000000000e+08,3.666286468505859375e+01
2.628000000000000000e+08,3.666055297851562500e+01
2.644166720000000000e+08,3.584793853759765625e+01
2.660333280000000000e+08,3.574991989135742188e+01
2.676500000000000000e+08,3.680730438232421875e+01
2.692666560000000000e+08,3.549695587158203125e+01
2.708833280000000000e+08,3.587049102783203125e+01
2.725000000000000000e+08,3.583515548706054688e+01
2.741166720000000000e+08,3.557276153564453125e+01
2.757333440000000000e+08,3.621804428100585938e+01
2.773500160000000000e+08,3.672473526000976562e+01
2.789666560000000000e+08,3.616354370117187500e+01
2.805833280000000000e+08,3.574461364746093750e+01
2.822000000000000000e+08,3.646973037719726562e+01
2.838166720000000000e+08,3.551721954345703125e+01
2.854333440000000000e+08,3.649309158325195312e+01
2.870499840000000000e+08,3.597626876831054688e+01
2.886666560000000000e+08,3.599165344238281250e+01
2.902833280000000000e+08,3.631668853759765625e+01
2.919000000000000000e+08,3.635421371459960938e+01
2.935166720000000000e+08,3.638563537597656250e+01
2.951333440000000000e+08,3.578671646118164062e+01
2.967500160000000000e+08,3.532458496093750000e+01
2.983666560000000000e+08,3.588364791870117188e+01
2.999833280000000000e+08,3.603261947631835938e+01
3.016000000000000000e+08,3.644302749633789062e+01
3.032166720000000000e+08,3.632970428466796875e+01
3.048333440000000000e+08,3.648847198486328125e+01
3.064499840000000000e+08,3.634867095947265625e+01
3.080666560000000000e+08,3.619059753417968750e+01
3.096833280000000000e+08,3.615283584594726562e+01
3.113000000000000000e+08,3.582418823242187500e+01
3.129166720000000000e+08,3.615622711181640625e+01
3.145333440000000000e+08,3.580003356933593750e+01
3.161500160000000000e+08,3.626900482177734375e+01
3.177666560000000000e+08,3.637528991699218750e+01
3.193833280000000000e+08,3.632526016235351562e+01
3.210000000000000000e+08,3.645283126831054688e+01
3.226166720000000000e+08,3.665628433227539062e+01
3.242333440000000000e+08,3.627036666870117188e+01
3.258499840000000000e+08,3.663056945800781250e+01
3.274666560000000000e+08,3.609692764282226562e+01
3.290833280000000000e+08,3.568664550781250000e+01
3.307000000000000000e+08,3.601551818847656250e+01
3.323166720000000000e+08,3.638647842407226562e+01
3.339333440000000000e+08,3.635958099365234375e+01
3.355500160000000000e+08,3.598768997192382812e+01
3.371666560000000000e+08,3.692283248901367188e+01
3.387833280000000000e+08,3.680389022827148438e+01
3.404000000000000000e+08,3.622132110595703125e+01
3.420166720000000000e+08,3.619588088989257812e+01
3.436333440000000000e+08,3.638302230834960938e+01
3.452499840000000000e+08,3.632502746582031250e+01
3.468666560000000000e+08,3.703137969970703125e+01
3.484833280000000000e+08,3.603944396972656250e+01
3.501000000000000000e+08,3.691768646240234375e+01
3.517166720000000000e+08,3.582600021362304688e+01
3.533333440000000000e+08,3.609647369384765625e+01
3.549500160000000000e+08,3.729570007324218750e+01
3.565666560000000000e+08,3.689379119873046875e+01
3.581833280000000000e+08,3.658069229125976562e+01
3.598000000000000000e+08,3.753889083862304688e+01
3.614166720000000000e+08,3.685503005981445312e+01
3.630333440000000000e+08,3.639529418945312500e+01
3.646499840000000000e+08,3.653820800781250000e+01
3.662666560000000000e+08,3.689366912841796875e+01
3.678833280000000000e+08,3.628205490112304688e+01
3.695000000000000000e+08,3.700545501708984375e+01
3.711166720000000000e+08,3.707183837890625000e+01
3.727333440000000000e+08,3.683946228027343750e+01
3.743500160000000000e+08,3.628097152709960938e+01
3.759666560000000000e+08,3.663906478881835938e+01
3.775833280000000000e+08,3.692336654663085938e+01
3.792000000000000000e+08,3.691823196411132812e+01
3.808166720000000000e+08,3.631904220581054688e+01
3.824333440000000000e+08,3.728972625732421875e+01
3.840499840000000000e+08,3.659906005859375000e+01
3.856666560000000000e+08,3.712686538696289062e+01
3.872833280000000000e+08,3.749898910522460938e+01
3.889000000000000000e+08,3.735544204711914062e+01
3.905166720000000000e+08,3.721291732788085938e+01
3.921333440000000000e+08,3.698186111450195312e+01
3.937500160000000000e+08,3.733824539184570312e+01
3.953666560000000000e+08,3.717620468139648438e+01
3.969833280000000000e+08,3.706473159790039062e+01
3.986000000000000000e+08,3.688769149780273438e+01
4.002166720000000000e+08,3.767209243774414062e+01
4.018333440000000000e+08,3.671684646606445312e+01
4.034499840000000000e+08,3.710108184814453125e+01
4.050666560000000000e+08,3.714049530029296875e+01
4.066833280000000000e+08,3.649660491943359375e+01
4.083000000000000000e+08,3.748636245727539062e+01
4.099166720000000000e+08,3.711404037475585938e+01
4.115333440000000000e+08,3.736896896362304688e+01
4.131500160000000000e+08,3.704225158691406250e+01
4.147666560000000000e+08,3.728436660766601562e+01
4.163833280000000000e+08,3.709075164794921875e+01
4.180000000000000000e+08,3.734195327758789062e+01
4.196166720000000000e+08,3.756110763549804688e+01
4.212333440000000000e+08,3.737395858764648438e+01
4.228499840000000000e+08,3.728655242919921875e+01
4.244666560000000000e+08,3.722110366821289062e+01
4.260833280000000000e+08,3.804396820068359375e+01
4.277000000000000000e+08,3.674440765380859375e+01
4.293166720000000000e+08,3.750679779052734375e+01
4.309333440000000000e+08,3.714810180664062500e+01
4.325500160000000000e+08,3.753727722167968750e+01
4.341666560000000000e+08,3.743941497802734375e+01
4.357833280000000000e+08,3.708470916748046875e+01
4.374000000000000000e+08,3.658058547973632812e+01
4.390166720000000000e+08,3.707408142089843750e+01
4.406333440000000000e+08,3.736060714721679688e+01
4.422499840000000000e+08,3.736882400512695312e+01
4.438666560000000000e+08,3.738388442993164062e+01
4.454833280000000000e+08,3.760254669189453125e+01
4.471000000000000000e+08,3.707386779785156250e+01
4.487166720000000000e+08,3.770866775512695312e+01
