# f[Hz], a[dB]
3.000000000000000000e+07,3.520307922363281250e+01
3.161666600000000000e+07,3.550908660888671875e+01
3.323333400000000000e+07,3.522528076171875000e+01
3.485000000000000000e+07,3.434251022338867188e+01
3.646666800000000000e+07,3.550521087646484375e+01
3.808333200000000000e+07,3.494567108154296875e+01
3.970000000000000000e+07,3.551110458374023438e+01
4.131666800000000000e+07,3.564602279663085938e+01
4.293333200000000000e+07,3.566524505615234375e+01
4.455000000000000000e+07,3.624187088012695312e+01
4.616666800000000000e+07,3.510219192504882812e+01
4.778333200000000000e+07,3.556966400146484375e+01
4.940000000000000000e+07,3.518819808959960938e+01
5.101666800000000000e+07,3.540919494628906250e+01
5.263333200000000000e+07,3.517758560180664062e+01
5.425000000000000000e+07,3.614825820922851562e+01
5.586666800000000000e+07,3.576692581176757812e+01
5.748333200000000000e+07,3.532080841064453125e+01
5.910000000000000000e+07,3.573326492309570312e+01
6.071666800000000000e+07,3.593916320800781250e+01
6.233333200000000000e+07,3.574615097045898438e+01
6.395000000000000000e+07,3.622818756103515625e+01
6.556666800000000000e+07,3.619832992553710938e+01
6.718333600000000000e+07,3.603682708740234375e+01
6.880000000000000000e+07,3.562404251098632812e+01
7.041666400000000000e+07,3.548809051513671875e+01
7.203333600000000000e+07,3.592517471313476562e+01
7.365000000000000000e+07,3.590208816528320312e+01
7.526666400000000000e+07,3.650797653198242188e+01
7.688333600000000000e+07,3.643009948730468750e+01
7.850000000000000000e+07,3.589521026611328125e+01
8.011666400000000000e+07,3.561533737182617188e+01
8.173333600000000000e+07,3.572728729248046875e+01
8.335000000000000000e+07,3.600478744506835938e+01
8.496666400000000000e+07,3.572399520874023438e+01
8.658333600000000000e+07,3.687927627563476562e+01
8.820000000000000000e+07,3.642576980590820312e+01
8.981666400000000000e+07,3.613689041137695312e+01
9.143333600000000000e+07,3.641759872436523438e+01
9.305000000000000000e+07,3.527157211303710938e+01
9.466666400000000000e+07,3.599058914184570312e+01
9.628333600000000000e+07,3.649161148071289062e+01
9.790000000000000000e+07,3.560084915161132812e+01
9.951666400000000000e+07,3.640104675292968750e+01
1.011333360000000000e+08,3.595548248291015625e+01
1.027500000000000000e+08,3.619752120971679688e+01
1.043666640000000000e+08,3.618423461914062500e+01
1.059833360000000000e+08,3.631373977661132812e+01
1.076000000000000000e+08,3.662830734252929688e+01
1.092166640000000000e+08,3.542907714843750000e+01
1.108333360000000000e+08,3.576276397705078125e+01
1.124500000000000000e+08,3.541650390625000000e+01
1.140666640000000000e+08,3.629171371459960938e+01
1.156833360000000000e+08,3.579265213012695312e+01
1.173000000000000000e+08,3.561050415039062500e+01
1.189166640000000000e+08,3.623650741577148438e+01
1.205333360000000000e+08,3.589905548095703125e+01
1.221500000000000000e+08,3.632649612426757812e+01
1.237666640000000000e+08,3.644683456420898438e+01
