# f[Hz], a[dB]
3.000000000000000000e+07,3.548699951171875000e+01
3.161666600000000000e+07,3.492255020141601562e+01
3.323333400000000000e+07,3.593717575073242188e+01
3.485000000000000000e+07,3.514212799072265625e+01
3.646666800000000000e+07,3.581316757202148438e+01
3.808333200000000000e+07,3.487664794921875000e+01
3.970000000000000000e+07,3.510631179809570312e+01
4.131666800000000000e+07,3.542925643920898438e+01
4.293333200000000000e+07,3.550695419311523438e+01
4.455000000000000000e+07,3.551760482788085938e+01
4.616666800000000000e+07,3.553438568115234375e+01
4.778333200000000000e+07,3.618056869506835938e+01
4.940000000000000000e+07,3.542307281494140625e+01
5.101666800000000000e+07,3.633755111694335938e+01
5.263333200000000000e+07,3.531615829467773438e+01
5.425000000000000000e+07,3.549871063232421875e+01
5.586666800000000000e+07,3.562069320678710938e+01
5.748333200000000000e+07,3.472530746459960938e+01
5.910000000000000000e+07,3.534319305419921875e+01
6.071666800000000000e+07,3.509698104858398438e+01
6.233333200000000000e+07,3.601675033569335938e+01
6.395000000000000000e+07,3.537762451171875000e+01
6.556666800000000000e+07,3.569977951049804688e+01
6.718333600000000000e+07,3.581688308715820312e+01
6.880000000000000000e+07,3.630370330810546875e+01
7.041666400000000000e+07,3.606383514404296875e+01
7.203333600000000000e+07,3.618177795410156250e+01
7.365000000000000000e+07,3.618989181518554688e+01
7.526666400000000000e+07,3.585091781616210938e+01
7.688333600000000000e+07,3.610230636596679688e+01
7.850000000000000000e+07,3.586379241943359375e+01
8.011666400000000000e+07,3.574376678466796875e+01
8.173333600000000000e+07,3.546439361572265625e+01
8.335000000000000000e+07,3.600087738037109375e+01
8.496666400000000000e+07,3.602436065673828125e+01
8.658333600000000000e+07,3.612862014770507812e+01
8.820000000000000000e+07,3.646449279785156250e+01
8.981666400000000000e+07,3.657309341430664062e+01
9.143333600000000000e+07,3.652224731445312500e+01
9.305000000000000000e+07,3.664345932006835938e+01
9.466666400000000000e+07,3.609667587280273438e+01
9.628333600000000000e+07,3.621105575561523438e+01
9.790000000000000000e+07,3.613677215576171875e+01
9.951666400000000000e+07,3.656333160400390625e+01
1.011333360000000000e+08,3.614918899536132812e+01
1.027500000000000000e+08,3.603979492187500000e+01
1.043666640000000000e+08,3.594069671630859375e+01
1.059833360000000000e+08,3.545389556884765625e+01
1.076000000000000000e+08,3.637160491943359375e+01
1.092166640000000000e+08,3.593980407714843750e+01
1.108333360000000000e+08,3.639499282836914062e+01
1.124500000000000000e+08,3.594988250732421875e+01
1.140666640000000000e+08,3.614936065673828125e+01
1.156833360000000000e+08,3.546519851684570312e+01
1.173000000000000000e+08,3.637132644653320312e+01
1.189166640000000000e+08,3.617202377319335938e+01
1.205333360000000000e+08,3.602458572387695312e+01
1.221500000000000000e+08,3.656426620483398438e+01
1.237666640000000000e+08,3.720824813842773438e+01
1.253833360000000000e+08,3.587590408325195312e+01
1.270000000000000000e+08,3.661163711547851562e+01
1.286166640000000000e+08,3.652029800415039062e+01
1.302333360000000000e+08,3.622632598876953125e+01
1.318500000000000000e+08,3.649709320068359375e+01
1.334666640000000000e+08,3.621358871459960938e+01
1.350833280000000000e+08,3.668138885498046875e+01
1.367000000000000000e+08,3.655305099487304688e+01
1.383166720000000000e+08,3.687197494506835938e+01
1.399333280000000000e+08,3.559244537353515625e+01
1.415500000000000000e+08,3.686716461181640625e+01
1.431666720000000000e+08,3.633836746215820312e+01
1.447833280000000000e+08,3.575158309936523438e+01
1.464000000000000000e+08,3.694573211669921875e+01
1.480166720000000000e+08,3.623783874511718750e+01
1.496333280000000000e+08,3.643972778320312500e+01
1.512500000000000000e+08,3.586104583740234375e+01
1.528666720000000000e+08,3.676664733886718750e+01
1.544833280000000000e+08,3.597766876220703125e+01
1.561000000000000000e+08,3.582947921752929688e+01
1.577166720000000000e+08,3.564220809936523438e+01
1.593333280000000000e+08,3.640790557861328125e+01
1.609500000000000000e+08,3.635445404052734375e+01
1.625666720000000000e+08,3.654475021362304688e+01
1.641833280000000000e+08,3.650890731811523438e+01
1.658000000000000000e+08,3.630161285400390625e+01
1.674166720000000000e+08,3.681299591064453125e+01
1.690333280000000000e+08,3.669288253784179688e+01
1.706500000000000000e+08,3.679280090332031250e+01
1.722666720000000000e+08,3.653554534912109375e+01
1.738833280000000000e+08,3.664487457275390625e+01
1.755000000000000000e+08,3.605013275146484375e+01
1.771166720000000000e+08,3.738404464721679688e+01
1.787333280000000000e+08,3.616125869750976562e+01
1.803500000000000000e+08,3.624690628051757812e+01
1.819666720000000000e+08,3.647247314453125000e+01
1.835833280000000000e+08,3.638547897338867188e+01
1.852000000000000000e+08,3.766658401489257812e+01
1.868166720000000000e+08,3.571525955200195312e+01
1.884333280000000000e+08,3.631042098999023438e+01
1.900500000000000000e+08,3.649693679809570312e+01
1.916666720000000000e+08,3.625566101074218750e+01
1.932833280000000000e+08,3.678559875488281250e+01
1.949000000000000000e+08,3.716737365722656250e+01
1.965166720000000000e+08,3.656723785400390625e+01
1.981333280000000000e+08,3.605664825439453125e+01
1.997500000000000000e+08,3.667024612426757812e+01
2.013666720000000000e+08,3.650003814697265625e+01
2.029833280000000000e+08,3.653116607666015625e+01
2.046000000000000000e+08,3.582344818115234375e+01
2.062166720000000000e+08,3.662924194335937500e+01
2.078333280000000000e+08,3.692285156250000000e+01
2.094500000000000000e+08,3.589599990844726562e+01
2.110666720000000000e+08,3.546754455566406250e+01
2.126833280000000000e+08,3.641108322143554688e+01
2.143000000000000000e+08,3.612429809570312500e+01
2.159166720000000000e+08,3.591909408569335938e+01
2.175333280000000000e+08,3.582688903808593750e+01
2.191500000000000000e+08,3.531189346313476562e+01
2.207666720000000000e+08,3.570160293579101562e+01
2.223833280000000000e+08,3.636685562133789062e+01
2.240000000000000000e+08,3.594699096679687500e+01
2.256166720000000000e+08,3.583678436279296875e+01
2.272333280000000000e+08,3.644192886352539062e+01
2.288500000000000000e+08,3.596431732177734375e+01
2.304666720000000000e+08,3.646319198608398438e+01
2.320833280000000000e+08,3.571744155883789062e+01
2.337000000000000000e+08,3.570559310913085938e+01
