# f[Hz], a[dB]
3.000000000000000000e+07,3.549931335449218750e+01
3.161666600000000000e+07,3.521857833862304688e+01
3.323333400000000000e+07,3.613433074951171875e+01
3.485000000000000000e+07,3.551372909545898438e+01
3.646666800000000000e+07,3.531893920898437500e+01
3.808333200000000000e+07,3.551589202880859375e+01
3.970000000000000000e+07,3.567343902587890625e+01
4.131666800000000000e+07,3.544751358032226562e+01
4.293333200000000000e+07,3.556919479370117188e+01
4.455000000000000000e+07,3.515825653076171875e+01
4.616666800000000000e+07,3.488136672973632812e+01
4.778333200000000000e+07,3.565979385375976562e+01
4.940000000000000000e+07,3.569009017944335938e+01
5.101666800000000000e+07,3.590180587768554688e+01
5.263333200000000000e+07,3.541427230834960938e+01
5.425000000000000000e+07,3.614422225952148438e+01
5.586666800000000000e+07,3.570500564575195312e+01
5.748333200000000000e+07,3.539065551757812500e+01
5.910000000000000000e+07,3.603229141235351562e+01
6.071666800000000000e+07,3.588039016723632812e+01
6.233333200000000000e+07,3.621349334716796875e+01
6.395000000000000000e+07,3.549062347412109375e+01
6.556666800000000000e+07,3.510581588745117188e+01
6.718333600000000000e+07,3.568317794799804688e+01
6.880000000000000000e+07,3.534065628051757812e+01
7.041666400000000000e+07,3.544891357421875000e+01
7.203333600000000000e+07,3.558971786499023438e+01
7.365000000000000000e+07,3.580618286132812500e+01
7.526666400000000000e+07,3.513385009765625000e+01
7.688333600000000000e+07,3.594035339355468750e+01
7.850000000000000000e+07,3.642332839965820312e+01
8.011666400000000000e+07,3.580889129638671875e+01
8.173333600000000000e+07,3.615790557861328125e+01
8.335000000000000000e+07,3.643125915527343750e+01
8.496666400000000000e+07,3.555652999877929688e+01
8.658333600000000000e+07,3.646664047241210938e+01
8.820000000000000000e+07,3.566820526123046875e+01
8.981666400000000000e+07,3.628693771362304688e+01
9.143333600000000000e+07,3.581204986572265625e+01
9.305000000000000000e+07,3.633900451660156250e+01
9.466666400000000000e+07,3.636095428466796875e+01
9.628333600000000000e+07,3.656969451904296875e+01
