# f[Hz], a[dB]
3.000000000000000000e+07,3.557321929931640625e+01
3.161666600000000000e+07,3.580613327026367188e+01
3.323333400000000000e+07,3.598852157592773438e+01
3.485000000000000000e+07,3.474577331542968750e+01
3.646666800000000000e+07,3.543087005615234375e+01
3.808333200000000000e+07,3.528299713134765625e+01
3.970000000000000000e+07,3.576920700073242188e+01
4.131666800000000000e+07,3.541356658935546875e+01
4.293333200000000000e+07,3.552971267700195312e+01
4.455000000000000000e+07,3.538216018676757812e+01
4.616666800000000000e+07,3.506132888793945312e+01
4.778333200000000000e+07,3.599301528930664062e+01
4.940000000000000000e+07,3.567892074584960938e+01
5.101666800000000000e+07,3.547636795043945312e+01
5.263333200000000000e+07,3.580862426757812500e+01
5.425000000000000000e+07,3.507413864135742188e+01
5.586666800000000000e+07,3.522139739990234375e+01
5.748333200000000000e+07,3.549219512939453125e+01
5.910000000000000000e+07,3.548283386230468750e+01
6.071666800000000000e+07,3.605001831054687500e+01
6.233333200000000000e+07,3.486367416381835938e+01
6.395000000000000000e+07,3.485698318481445312e+01
6.556666800000000000e+07,3.601055526733398438e+01
6.718333600000000000e+07,3.586705398559570312e+01
6.880000000000000000e+07,3.652423095703125000e+01
7.041666400000000000e+07,3.563718032836914062e+01
7.203333600000000000e+07,3.597235107421875000e+01
7.365000000000000000e+07,3.580635070800781250e+01
7.526666400000000000e+07,3.603942871093750000e+01
7.688333600000000000e+07,3.582208251953125000e+01
7.850000000000000000e+07,3.569445800781250000e+01
8.011666400000000000e+07,3.632027816772460938e+01
8.173333600000000000e+07,3.609692382812500000e+01
8.335000000000000000e+07,3.578890991210937500e+01
8.496666400000000000e+07,3.574932479858398438e+01
8.658333600000000000e+07,3.595905685424804688e+01
8.820000000000000000e+07,3.575217819213867188e+01
8.981666400000000000e+07,3.711391830444335938e+01
9.143333600000000000e+07,3.620829772949218750e+01
9.305000000000000000e+07,3.526740264892578125e+01
9.466666400000000000e+07,3.579556655883789062e+01
9.628333600000000000e+07,3.669895172119140625e+01
9.790000000000000000e+07,3.607299423217773438e+01
9.951666400000000000e+07,3.671792221069335938e+01
1.011333360000000000e+08,3.559945678710937500e+01
1.027500000000000000e+08,3.636595153808593750e+01
1.043666640000000000e+08,3.579914855957031250e+01
1.059833360000000000e+08,3.700589370727539062e+01
1.076000000000000000e+08,3.557563781738281250e+01
1.092166640000000000e+08,3.619668197631835938e+01
1.108333360000000000e+08,3.557849502563476562e+01
1.124500000000000000e+08,3.550532531738281250e+01
1.140666640000000000e+08,3.603850936889648438e+01
1.156833360000000000e+08,3.605411529541015625e+01
1.173000000000000000e+08,3.574988555908203125e+01
1.189166640000000000e+08,3.647219467163085938e+01
1.205333360000000000e+08,3.613736343383789062e+01
1.221500000000000000e+08,3.591555023193359375e+01
1.237666640000000000e+08,3.654314804077148438e+01
1.253833360000000000e+08,3.610356521606445312e+01
1.270000000000000000e+08,3.609265899658203125e+01
1.286166640000000000e+08,3.591491699218750000e+01
1.302333360000000000e+08,3.654772949218750000e+01
1.318500000000000000e+08,3.587428665161132812e+01
1.334666640000000000e+08,3.630372238159179688e+01
1.350833280000000000e+08,3.628757858276367188e+01
1.367000000000000000e+08,3.603966140747070312e+01
1.383166720000000000e+08,3.689373397827148438e+01
1.399333280000000000e+08,3.621522903442382812e+01
1.415500000000000000e+08,3.623337173461914062e+01
1.431666720000000000e+08,3.625803375244140625e+01
1.447833280000000000e+08,3.679047393798828125e+01
1.464000000000000000e+08,3.625411224365234375e+01
1.480166720000000000e+08,3.599244308471679688e+01
1.496333280000000000e+08,3.585467529296875000e+01
1.512500000000000000e+08,3.591294860839843750e+01
1.528666720000000000e+08,3.596203613281250000e+01
1.544833280000000000e+08,3.613905334472656250e+01
1.561000000000000000e+08,3.608417892456054688e+01
1.577166720000000000e+08,3.643320846557617188e+01
1.593333280000000000e+08,3.632800292968750000e+01
1.609500000000000000e+08,3.602939987182617188e+01
1.625666720000000000e+08,3.615209960937500000e+01
1.641833280000000000e+08,3.668030166625976562e+01
1.658000000000000000e+08,3.586606216430664062e+01
1.674166720000000000e+08,3.629215240478515625e+01
1.690333280000000000e+08,3.589290237426757812e+01
1.706500000000000000e+08,3.608386611938476562e+01
1.722666720000000000e+08,3.670067977905273438e+01
1.738833280000000000e+08,3.653525543212890625e+01
1.755000000000000000e+08,3.700413131713867188e+01
1.771166720000000000e+08,3.617162704467773438e+01
1.787333280000000000e+08,3.726536941528320312e+01
1.803500000000000000e+08,3.616832351684570312e+01
1.819666720000000000e+08,3.597353363037109375e+01
1.835833280000000000e+08,3.669897842407226562e+01
1.852000000000000000e+08,3.605892181396484375e+01
1.868166720000000000e+08,3.638212966918945312e+01
1.884333280000000000e+08,3.688973999023437500e+01
1.900500000000000000e+08,3.690293502807617188e+01
1.916666720000000000e+08,3.654181671142578125e+01
1.932833280000000000e+08,3.631230545043945312e+01
1.949000000000000000e+08,3.675568008422851562e+01
1.965166720000000000e+08,3.584542083740234375e+01
1.981333280000000000e+08,3.649227523803710938e+01
1.997500000000000000e+08,3.542579269409179688e+01
2.013666720000000000e+08,3.609050369262695312e+01
2.029833280000000000e+08,3.679641723632812500e+01
2.046000000000000000e+08,3.640963745117187500e+01
2.062166720000000000e+08,3.624597930908203125e+01
2.078333280000000000e+08,3.655041885375976562e+01
2.094500000000000000e+08,3.612076950073242188e+01
2.110666720000000000e+08,3.574502182006835938e+01
2.126833280000000000e+08,3.597141647338867188e+01
2.143000000000000000e+08,3.619643402099609375e+01
2.159166720000000000e+08,3.576895904541015625e+01
